year,init_month,sst_mdr,anomaly_mdr,sst_trop,anomaly_trop,gcm_id
1993,4,299.90527,-0.2472635904947916,298.31116,-0.021453857421875,1
1993,5,300.10464,-0.1825663248697916,298.3765,-0.0154317220052083,1
1993,6,300.09903,-0.2422892252604166,298.39285,-0.0653584798177083,1
1993,7,300.09305,-0.312713623046875,298.45474,-0.0944620768229166,1
1994,4,299.83337,-0.31915283203125,298.15622,-0.1764119466145833,1
1994,5,299.96774,-0.3194681803385417,298.1852,-0.2067159016927083,1
1994,6,299.92236,-0.4189656575520833,298.32785,-0.1303609212239583,1
1994,7,299.87704,-0.528717041015625,298.31262,-0.2365926106770833,1
1995,4,300.17822,0.02569580078125,298.20435,-0.1282755533854166,1
1995,5,300.32724,0.0400288899739583,298.2068,-0.1851399739583333,1
1995,6,300.60455,0.263214111328125,298.32727,-0.1309611002604166,1
1995,7,300.78894,0.3831888834635417,298.51303,-0.03619384765625,1
1996,4,299.93115,-0.2213643391927083,298.1688,-0.163818359375,1
1996,5,300.08115,-0.2060546875,298.25864,-0.13330078125,1
1996,6,300.0925,-0.2488505045572916,298.31662,-0.1416015625,1
1996,7,300.30142,-0.104339599609375,298.41785,-0.1313883463541666,1
1997,4,300.08438,-0.0681559244791666,298.44824,0.115631103515625,1
1997,5,300.43375,0.1465555826822916,298.5524,0.1604817708333333,1
1997,6,300.51697,0.175628662109375,298.628,0.169769287109375,1
1997,7,300.4891,0.0833333333333333,298.7187,0.169464111328125,1
1998,4,300.21414,0.0616048177083333,298.38293,0.050323486328125,1
1998,5,300.49942,0.21221923828125,298.49362,0.1016642252604166,1
1998,6,300.62546,0.2840983072916667,298.56363,0.1054178873697916,1
1998,7,300.6284,0.2226359049479166,298.61194,0.0627237955729166,1
1999,4,300.1106,-0.0419413248697916,298.1317,-0.2008870442708333,1
1999,5,300.2029,-0.0842692057291666,298.13974,-0.2522074381510417,1
1999,6,300.39532,0.053985595703125,298.24338,-0.2148335774739583,1
1999,7,300.28635,-0.1194254557291666,298.31482,-0.234405517578125,1
2000,4,300.11856,-0.0339457194010416,298.12985,-0.2027689615885416,1
2000,5,300.14688,-0.1402994791666666,298.24768,-0.1442667643229166,1
2000,6,300.0895,-0.2518208821614583,298.30002,-0.1582234700520833,1
2000,7,300.08817,-0.3175862630208333,298.41537,-0.1338399251302083,1
2001,4,300.1365,-0.0160115559895833,298.34402,0.0114237467447916,1
2001,5,300.25732,-0.0298665364583333,298.41165,0.01971435546875,1
2001,6,300.38654,0.045196533203125,298.45752,-0.0007120768229166,1
2001,7,300.50293,0.0971577962239583,298.60934,0.0601298014322916,1
2002,4,300.2333,0.0808003743489583,298.49966,0.16705322265625,1
2002,5,300.27347,-0.0137125651041666,298.538,0.1460469563802083,1
2002,6,300.1329,-0.2084248860677083,298.5936,0.1353556315104166,1
2002,7,300.14206,-0.2636922200520833,298.6738,0.1245625813802083,1
2003,4,300.3076,0.1550394694010416,298.3982,0.0655721028645833,1
2003,5,300.3599,0.07269287109375,298.41785,0.0259195963541666,1
2003,6,300.418,0.0766805013020833,298.50107,0.0428466796875,1
2003,7,300.5094,0.1036376953125,298.68936,0.1401570638020833,1
2004,4,300.36032,0.2078043619791666,298.4916,0.1590169270833333,1
2004,5,300.39868,0.111480712890625,298.55624,0.1642964680989583,1
2004,6,300.43246,0.0911153157552083,298.58484,0.1266072591145833,1
2004,7,300.68604,0.2802836100260417,298.63412,0.0848897298177083,1
2005,4,300.56946,0.4169413248697917,298.65707,0.3244730631510417,1
2005,5,300.68042,0.3932291666666667,298.71103,0.3190816243489583,1
2005,6,300.72177,0.3804423014322917,298.72,0.26177978515625,1
2005,7,300.88174,0.475982666015625,298.77417,0.2249348958333333,1
2006,4,300.32785,0.1753336588541666,298.5399,0.2072855631510416,1
2006,5,300.69592,0.4087117513020833,298.6146,0.2226460774739583,1
2006,6,300.81833,0.4769795735677083,298.7051,0.24688720703125,1
2006,7,300.60992,0.20416259765625,298.75217,0.2029317220052083,1
2007,4,300.34042,0.1878865559895833,298.53796,0.2053426106770833,1
2007,5,300.57327,0.28607177734375,298.52588,0.133941650390625,1
2007,6,300.54703,0.2056884765625,298.6261,0.1678670247395833,1
2007,7,300.52588,0.1201273600260416,298.70963,0.160400390625,1
2008,4,300.46957,0.3170369466145833,298.52237,0.18975830078125,1
2008,5,300.5616,0.2744242350260417,298.57095,0.17901611328125,1
2008,6,300.76053,0.419189453125,298.69934,0.241119384765625,1
2008,7,300.69223,0.286468505859375,298.705,0.1557515462239583,1
2009,4,300.23013,0.0775960286458333,298.66327,0.330657958984375,1
2009,5,300.27844,-0.008758544921875,298.81137,0.4194437662760417,1
2009,6,300.41348,0.0721638997395833,298.8994,0.4412027994791667,1
2009,7,300.70187,0.2960917154947917,298.99796,0.4487202962239583,1
2010,4,300.863,0.7104899088541666,298.7317,0.3990681966145833,1
2010,5,300.95642,0.669219970703125,298.75647,0.3645222981770833,1
2010,6,301.1155,0.7741800944010416,298.79123,0.3330179850260417,1
2010,7,301.07214,0.6663716634114584,298.77173,0.2224934895833333,1
2011,4,300.5117,0.3591715494791667,298.6323,0.2996622721354167,1
2011,5,300.5743,0.2870890299479167,298.67685,0.2849222819010417,1
2011,6,300.69913,0.3577779134114583,298.67776,0.21954345703125,1
2011,7,300.8116,0.405853271484375,298.67398,0.1247762044270833,1
2012,4,300.41977,0.267242431640625,298.67215,0.3395284016927083,1
2012,5,300.4514,0.1641845703125,298.68823,0.2962849934895833,1
2012,6,300.63892,0.297576904296875,298.7755,0.3172810872395833,1
2012,7,300.6567,0.2509562174479167,298.82388,0.2746480305989583,1
2013,4,300.39938,0.2468465169270833,298.687,0.354400634765625,1
2013,5,300.5942,0.3070170084635417,298.7161,0.3241678873697917,1
2013,6,300.4832,0.1418558756510416,298.73923,0.281005859375,1
2013,7,300.54358,0.1378072102864583,298.73013,0.1808980305989583,1
2014,4,300.30045,0.1479085286458333,298.89062,0.5580240885416666,1
2014,5,300.50327,0.2160441080729166,298.93875,0.5468241373697916,1
2014,6,300.50485,0.1635233561197916,298.9448,0.4865620930989583,1
2014,7,300.55972,0.153961181640625,298.94006,0.3908284505208333,1
2015,4,300.41818,0.2656453450520833,299.0037,0.6711018880208334,1
2015,5,300.59387,0.3066813151041667,299.11624,0.7242940266927084,1
2015,6,300.51492,0.1735738118489583,299.1216,0.6634114583333334,1
2015,7,300.57727,0.1715189615885416,299.1718,0.622589111328125,1
2016,4,300.4648,0.3122965494791667,298.93176,0.599151611328125,1
2016,5,300.64563,0.3584187825520833,298.95605,0.5641276041666666,1
2016,6,300.82547,0.4841512044270833,299.04617,0.5879618326822916,1
2016,7,300.8121,0.4063212076822917,299.0919,0.5426737467447916,1
2017,4,300.50085,0.3483378092447917,298.93008,0.5974833170572916,1
2017,5,300.76917,0.481964111328125,298.99377,0.6018269856770834,1
2017,6,300.9928,0.651458740234375,299.01837,0.560150146484375,1
2017,7,301.01022,0.6044413248697916,299.1075,0.5582682291666666,1
2018,4,300.40503,0.2525126139322917,298.7484,0.4157918294270833,1
2018,5,300.41263,0.1254475911458333,298.80142,0.4095052083333333,1
2018,6,300.4664,0.12506103515625,298.87308,0.4148763020833333,1
2018,7,300.4247,0.0189412434895833,298.91367,0.3644307454427083,1
2025,4,300.6958,0.5432840983072916,299.09695,0.7643636067708334,1
2025,5,300.729,0.441802978515625,299.12527,0.7333475748697916,1
2025,6,301.00113,0.6598103841145834,299.1586,0.7003885904947916,1
2025,7,300.946,0.5402323404947916,299.13284,0.5836385091145834,1
1993,4,299.53616,-0.261749267578125,298.6067,0.0651957194010416,2
1993,5,299.64322,-0.2520548502604167,298.5612,0.00433349609375,2
1993,6,299.8548,-0.23681640625,298.64352,0.0014546712239583,2
1993,7,300.07767,-0.2745157877604167,298.74158,-0.0240580240885416,2
1994,4,299.37625,-0.421661376953125,298.40454,-0.1369527180989583,2
1994,5,299.58066,-0.314605712890625,298.39896,-0.1578877766927083,2
1994,6,299.61313,-0.4784952799479167,298.51807,-0.1239827473958333,2
1994,7,299.80722,-0.544952392578125,298.54843,-0.2171834309895833,2
1995,4,299.8457,0.04779052734375,298.44635,-0.09515380859375,2
1995,5,300.05225,0.1569722493489583,298.52698,-0.029876708984375,2
1995,6,300.34006,0.2484334309895833,298.57095,-0.0710957845052083,2
1995,7,300.80685,0.4546712239583333,298.78983,0.0242106119791666,2
1996,4,299.6885,-0.1093953450520833,298.47964,-0.0618693033854166,2
1996,5,299.8121,-0.0831807454427083,298.48782,-0.0690104166666666,2
1996,6,299.9657,-0.1259256998697916,298.54358,-0.098480224609375,2
1996,7,300.246,-0.106170654296875,298.67575,-0.089874267578125,2
1997,4,299.8446,0.0466817220052083,298.6748,0.13330078125,2
1997,5,299.99924,0.103973388671875,298.7352,0.1783447265625,2
1997,6,300.28384,0.1922403971354166,298.81775,0.1756998697916666,2
1997,7,300.4718,0.1196187337239583,298.99976,0.2341410319010416,2
1998,4,300.03006,0.2321573893229166,298.63156,0.090057373046875,2
1998,5,300.15286,0.2576090494791667,298.66907,0.1122029622395833,2
1998,6,300.35822,0.2666015625,298.7724,0.130340576171875,2
1998,7,300.60928,0.2571004231770833,298.8367,0.071075439453125,2
1999,4,299.76022,-0.0376993815104166,298.2782,-0.2633056640625,2
1999,5,299.93265,0.0373942057291666,298.2927,-0.2641499837239583,2
1999,6,300.1902,0.09857177734375,298.43512,-0.206939697265625,2
1999,7,300.20328,-0.1489054361979166,298.52673,-0.2389017740885416,2
2000,4,299.7157,-0.0822245279947916,298.35965,-0.1818644205729166,2
2000,5,299.78433,-0.110931396484375,298.41806,-0.1387837727864583,2
2000,6,299.84232,-0.249298095703125,298.48044,-0.1616414388020833,2
2000,7,300.13474,-0.217437744140625,298.59872,-0.1669108072916666,2
2001,4,299.74185,-0.0560506184895833,298.54886,0.0073445638020833,2
2001,5,299.76883,-0.1264444986979166,298.56473,0.0078938802083333,2
2001,6,300.0292,-0.062408447265625,298.62488,-0.017181396484375,2
2001,7,300.3588,0.0066324869791666,298.7869,0.0212910970052083,2
2002,4,299.7673,-0.030609130859375,298.6304,0.0889078776041666,2
2002,5,299.82632,-0.0689493815104166,298.63834,0.0814717610677083,2
2002,6,299.8237,-0.267913818359375,298.7762,0.1341451009114583,2
2002,7,300.11954,-0.2326456705729166,298.8563,0.0906473795572916,2
2003,4,299.91245,0.1145121256510416,298.53607,-0.00543212890625,2
2003,5,299.92813,0.0328572591145833,298.53122,-0.0256245930989583,2
2003,6,300.1704,0.0787862141927083,298.65738,0.0153401692708333,2
2003,7,300.35825,0.0060628255208333,298.873,0.10736083984375,2
2004,4,300.04358,0.24566650390625,298.67532,0.1338094075520833,2
2004,5,299.9636,0.0683390299479166,298.657,0.1001688639322916,2
2004,6,300.16364,0.072021484375,298.70486,0.06280517578125,2
2004,7,300.50247,0.1503092447916666,298.78577,0.0201314290364583,2
2005,4,300.1107,0.3127848307291667,298.76764,0.22613525390625,2
2005,5,300.1942,0.2989400227864583,298.75748,0.2006327311197916,2
2005,6,300.55594,0.4643147786458333,298.8016,0.1595458984375,2
2005,7,300.8821,0.5299479166666666,298.9337,0.168060302734375,2
2006,4,299.8647,0.0667724609375,298.67642,0.1349385579427083,2
2006,5,300.14352,0.2482401529947916,298.7081,0.1512349446614583,2
2006,6,300.44443,0.3527933756510417,298.80847,0.1664225260416666,2
2006,7,300.53073,0.1785685221354166,298.89255,0.1269327799479166,2
2007,4,299.83536,0.037445068359375,298.57858,0.0370890299479166,2
2007,5,300.05618,0.160919189453125,298.57498,0.01812744140625,2
2007,6,300.1389,0.0472819010416666,298.6433,0.0012613932291666,2
2007,7,300.36765,0.0154622395833333,298.80295,0.0373128255208333,2
2008,4,299.95532,0.1573994954427083,298.5281,-0.0134073893229166,2
2008,5,300.1162,0.2209574381510416,298.6027,0.04583740234375,2
2008,6,300.41418,0.32257080078125,298.71085,0.0687967936197916,2
2008,7,300.6279,0.2757161458333333,298.78232,0.0167032877604166,2
2009,4,299.64413,-0.153778076171875,298.6835,0.1420186360677083,2
2009,5,299.70895,-0.186309814453125,298.8058,0.2489420572916666,2
2009,6,299.99997,-0.0916646321614583,298.9276,0.2855631510416667,2
2009,7,300.58344,0.23126220703125,299.08548,0.3198649088541667,2
2010,4,300.46527,0.6673583984375,298.74405,0.2025349934895833,2
2010,5,300.7317,0.83642578125,298.7253,0.1684468587239583,2
2010,6,300.8831,0.7914937337239584,298.7849,0.1428629557291666,2
2010,7,301.071,0.7188517252604166,298.85312,0.0874837239583333,2
2011,4,299.9606,0.1627095540364583,298.66666,0.1251424153645833,2
2011,5,300.1337,0.2384236653645833,298.67816,0.121307373046875,2
2011,6,300.37173,0.2801310221354167,298.70633,0.0642801920572916,2
2011,7,300.7012,0.3490498860677083,298.77115,0.0055440266927083,2
2012,4,299.92886,0.130950927734375,298.75208,0.2105611165364583,2
2012,5,299.9382,0.0429280598958333,298.73795,0.1811116536458333,2
2012,6,300.22775,0.1361185709635416,298.8287,0.1866455078125,2
2012,7,300.51297,0.1608174641927083,298.87314,0.1075032552083333,2
2013,4,299.92282,0.1249186197916666,298.71487,0.173370361328125,2
2013,5,300.13272,0.2374776204427083,298.73215,0.1752827962239583,2
2013,6,300.20358,0.111968994140625,298.76447,0.122406005859375,2
2013,7,300.44278,0.090606689453125,298.83542,0.0697733561197916,2
2014,4,299.67953,-0.1183675130208333,298.87735,0.3358561197916667,2
2014,5,299.96466,0.06939697265625,298.9374,0.3805440266927083,2
2014,6,300.05908,-0.03253173828125,298.912,0.269927978515625,2
2014,7,300.27908,-0.073089599609375,298.99008,0.224456787109375,2
2015,4,299.75412,-0.0438130696614583,298.97763,0.436126708984375,2
2015,5,299.96243,0.0671895345052083,299.13943,0.5826009114583334,2
2015,6,300.00717,-0.084442138671875,299.13962,0.4975484212239583,2
2015,7,300.40662,0.0544535319010416,299.2581,0.492462158203125,2
2016,4,299.8878,0.0898844401041666,298.8663,0.324798583984375,2
2016,5,300.14438,0.249114990234375,298.89517,0.3383280436197917,2
2016,6,300.4484,0.356781005859375,299.00037,0.3582967122395833,2
2016,7,300.65112,0.2989603678385417,299.1418,0.3761698404947917,2
2021,4,300.07855,0.2806396484375,298.89462,0.3531087239583333,2
2021,5,300.28827,0.39300537109375,298.9461,0.389251708984375,2
2021,6,300.46115,0.3695475260416667,299.05164,0.4095865885416667,2
2021,7,300.6279,0.2757059733072917,299.09775,0.3321024576822917,2
2022,4,299.95874,0.1608378092447916,298.7559,0.2143961588541666,2
2022,5,300.10422,0.2089436848958333,298.72284,0.165985107421875,2
2022,6,300.4921,0.4005025227864583,298.89658,0.2545064290364583,2
2022,7,300.55692,0.2047322591145833,298.9076,0.1419677734375,2
2023,4,300.41745,0.619537353515625,299.15366,0.612152099609375,2
2023,5,300.79016,0.8949076334635416,299.26126,0.7043965657552084,2
2023,6,301.13016,1.038543701171875,299.29214,0.6500752766927084,2
2023,7,301.5594,1.20721435546875,299.37988,0.6142578125,2
2024,4,300.66302,0.8651123046875,299.02615,0.4846598307291667,2
2024,5,300.83752,0.9422505696614584,299.09167,0.534820556640625,2
2024,6,301.2452,1.1535746256510415,299.1345,0.4924112955729167,2
2024,7,301.31125,0.959075927734375,299.24326,0.477630615234375,2
2025,4,300.10855,0.310638427734375,299.02554,0.4840494791666667,2
2025,5,300.26587,0.3705952962239583,299.01608,0.4592386881510417,2
2025,6,300.51004,0.4184366861979167,299.09903,0.45697021484375,2
2025,7,300.79224,0.4400533040364583,299.1135,0.3478495279947917,2
1993,4,300.31247,-0.062286376953125,298.3496,0.151885986328125,3
1993,5,300.2861,-0.019500732421875,298.25427,0.110107421875,3
1993,6,299.9763,-0.2641092936197917,298.25107,0.099090576171875,3
1993,7,299.91992,-0.159515380859375,298.20105,0.0370585123697916,3
1994,4,300.07898,-0.2957865397135417,298.22717,0.0294392903645833,3
1994,5,300.01962,-0.2860005696614583,298.2173,0.0731099446614583,3
1994,6,299.72574,-0.5146484375,298.17822,0.0262451171875,3
1994,7,299.56445,-0.5149943033854166,298.18924,0.0252278645833333,3
1995,4,300.2595,-0.1152852376302083,298.28745,0.0897318522135416,3
1995,5,300.24686,-0.0587361653645833,298.17032,0.026153564453125,3
1995,6,300.35782,0.1174519856770833,298.25586,0.1038716634114583,3
1995,7,300.2186,0.1391499837239583,298.25916,0.0951436360677083,3
1996,4,300.3132,-0.0615437825520833,298.05905,-0.1386820475260416,3
1996,5,300.24905,-0.0565388997395833,297.99323,-0.15093994140625,3
1996,6,300.0989,-0.1414896647135416,298.0118,-0.1401875813802083,3
1996,7,300.15048,0.071044921875,298.00406,-0.159942626953125,3
1997,4,300.4366,0.0618489583333333,298.0767,-0.1210225423177083,3
1997,5,300.43735,0.1317342122395833,298.10837,-0.0357869466145833,3
1997,6,300.59607,0.3556925455729167,298.1736,0.021636962890625,3
1997,7,300.22876,0.1493326822916666,298.24933,0.0853271484375,3
1998,4,300.8149,0.4401448567708333,298.3253,0.1275431315104166,3
1998,5,300.88367,0.5780741373697916,298.29166,0.1474812825520833,3
1998,6,300.66837,0.4279988606770833,298.3026,0.150634765625,3
1998,7,300.41458,0.3351338704427083,298.2514,0.08740234375,3
1999,4,300.18036,-0.19439697265625,297.91977,-0.2779541015625,3
1999,5,300.2107,-0.0948994954427083,297.87503,-0.2691446940104167,3
1999,6,300.18393,-0.0564473470052083,297.85358,-0.29840087890625,3
1999,7,299.81143,-0.2679951985677083,297.8619,-0.3020833333333333,3
2000,4,300.1785,-0.1962381998697916,298.0126,-0.1851298014322916,3
2000,5,300.06763,-0.2379659016927083,297.93845,-0.2057088216145833,3
2000,6,300.05368,-0.1867167154947916,297.96103,-0.1909688313802083,3
2000,7,299.78445,-0.2949930826822917,297.93335,-0.2306620279947916,3
2001,4,300.37936,0.0045878092447916,298.2018,0.0040791829427083,3
2001,5,300.12747,-0.1781412760416666,298.14432,0.0001627604166666,3
2001,6,299.98743,-0.2529500325520833,298.1044,-0.0475870768229166,3
2001,7,299.64343,-0.436004638671875,298.09512,-0.0688680013020833,3
2002,4,300.4858,0.1110331217447916,298.34366,0.1459452311197916,3
2002,5,300.28903,-0.0165608723958333,298.27518,0.1310017903645833,3
2002,6,300.15222,-0.0881551106770833,298.2272,0.0752156575520833,3
2002,7,300.02463,-0.0548197428385416,298.27368,0.1096903483072916,3
2003,4,300.27,-0.104766845703125,298.23538,0.0376790364583333,3
2003,5,300.32715,0.02154541015625,298.2145,0.0703328450520833,3
2003,6,300.4384,0.1980183919270833,298.2748,0.122833251953125,3
2003,7,300.48303,0.4036051432291667,298.38785,0.2238362630208333,3
2004,4,300.4949,0.120147705078125,298.27628,0.0785420735677083,3
2004,5,300.2757,-0.0299072265625,298.2014,0.0572306315104166,3
2004,6,300.21924,-0.021148681640625,298.16312,0.0111287434895833,3
2004,7,300.19003,0.1105753580729166,298.18634,0.0223388671875,3
2005,4,300.6672,0.2924296061197917,298.25558,0.057861328125,3
2005,5,300.55246,0.2468668619791666,298.1901,0.045928955078125,3
2005,6,300.66675,0.4263712565104167,298.2183,0.066314697265625,3
2005,7,300.5991,0.5196533203125,298.23953,0.075531005859375,3
2006,4,300.3109,-0.0638529459635416,298.12973,-0.0680135091145833,3
2006,5,300.5331,0.227508544921875,298.1051,-0.0390625,3
2006,6,300.51648,0.276092529296875,298.06912,-0.082855224609375,3
2006,7,300.21014,0.130706787109375,298.09088,-0.0731201171875,3
2007,4,300.31186,-0.062896728515625,298.0731,-0.1246439615885416,3
2007,5,300.12695,-0.1786600748697916,297.9949,-0.149261474609375,3
2007,6,299.9807,-0.259674072265625,297.98605,-0.1659138997395833,3
2007,7,299.79932,-0.2801106770833333,298.04352,-0.1204833984375,3
2008,4,300.19534,-0.1794230143229166,297.9639,-0.23382568359375,3
2008,5,300.1111,-0.1944986979166666,297.97195,-0.1722005208333333,3
2008,6,299.9662,-0.274200439453125,297.94183,-0.21014404296875,3
2008,7,299.84207,-0.2373555501302083,297.99362,-0.1703999837239583,3
2009,4,300.07468,-0.300079345703125,298.06873,-0.128997802734375,3
2009,5,300.1812,-0.1243896484375,298.11832,-0.0258382161458333,3
2009,6,299.9205,-0.3199055989583333,298.18808,0.0360819498697916,3
2009,7,300.04843,-0.0309956868489583,298.25607,0.0920817057291666,3
2010,4,300.84573,0.470977783203125,298.2047,0.006988525390625,3
2010,5,300.9128,0.6071879069010416,298.20386,0.0596923828125,3
2010,6,300.8144,0.574005126953125,298.17548,0.02349853515625,3
2010,7,300.56674,0.4872843424479167,298.12036,-0.0436503092447916,3
2011,4,300.35242,-0.0223286946614583,298.0016,-0.1961466471354166,3
2011,5,300.42422,0.1186421712239583,298.007,-0.137176513671875,3
2011,6,300.35922,0.1188456217447916,297.91196,-0.2400309244791666,3
2011,7,300.15732,0.077880859375,297.94708,-0.2169189453125,3
