year,sst_mdr,sst_trop,anomaly_mdr,anomaly_trop,hu,tc,pdi,ace
1958,27.943377,25.667612,0.22201729,-0.12789536,7,9,3.047091265771292,7.586362889129927
1959,27.545448,25.59191,-0.17591095,-0.20359802,7,9,1.982552100295299,5.448107265078194
1960,27.751062,25.584097,0.02970314,-0.21141052,4,6,2.2695685337427056,4.918188012706596
1961,27.627441,25.471487,-0.09391785,-0.3240204,8,11,5.582325898098017,12.290753921915353
1962,27.829172,25.53211,0.10781288,-0.26339722,4,7,1.260191752040777,3.8614935811975504
1963,27.737917,25.662073,0.016557693,-0.1334343,7,10,3.0860056329998824,7.667251318699059
1964,27.540634,25.29989,-0.1807251,-0.4956169,7,11,4.332305698496465,10.455615540118224
1965,27.559042,25.590048,-0.16231728,-0.2054596,4,8,2.3810733043024066,6.147377734833906
1966,27.681425,25.591667,-0.03993416,-0.20384026,7,11,3.9447794758213646,9.691605744223239
1967,27.503038,25.435923,-0.21832085,-0.3595848,6,9,2.9725856550600542,7.602369080140062
1968,27.692842,25.677782,-0.02851677,-0.11772537,4,7,1.0204967477766023,3.3731618429683863
1969,27.966873,25.761917,0.24551392,-0.033590317,12,15,3.831263921313612,10.100335264660877
1970,27.558258,25.47999,-0.1631012,-0.31551743,7,10,1.6046717589358916,5.114549677420342
1971,27.325647,25.37953,-0.3957119,-0.41597748,6,8,1.9908084453543786,5.6384666081631245
1972,27.365013,25.77394,-0.35634613,-0.021568298,3,5,0.6757410392432732,2.2025662129317767
1973,27.425446,25.577614,-0.2959137,-0.2178936,4,7,0.9720872161278801,3.0511801613089444
1974,27.147818,25.480852,-0.57354164,-0.3146553,4,9,1.6009626528964371,3.9568161651597555
1975,27.377584,25.305397,-0.3437748,-0.4901104,6,8,1.7113682929251193,4.517032850514832
1976,27.805222,25.581871,0.083862305,-0.2136364,6,8,1.9105388323935235,5.1068324067547435
1977,27.38675,25.603243,-0.33461,-0.19226456,5,4,0.6373633712037371,1.5400242350475488
1978,27.460129,25.527048,-0.26123047,-0.26845932,5,8,1.4069532480954183,3.7034324449723672
1979,27.626692,25.739265,-0.094667435,-0.05624199,5,5,2.544810669227408,5.419381868711784
1980,27.826159,25.664099,0.10479927,-0.13140869,9,9,4.1599260062188765,8.616475610568552
1981,27.744543,25.652681,0.023183823,-0.14282608,7,9,2.1553655631503417,5.800100554881662
1982,27.319565,25.686502,-0.40179443,-0.109004974,2,3,0.7150781489837985,1.844856426338977
1983,27.535995,25.755644,-0.18536377,-0.039863586,3,4,0.35626165690150274,1.0799891559256054
1984,27.126345,25.607714,-0.5950146,-0.18779373,5,9,1.644571300018376,4.964491636700243
1985,27.39813,25.555567,-0.32322884,-0.23994064,7,10,2.172936947559247,5.596021619502307
1986,27.355062,25.706842,-0.36629677,-0.08866501,4,5,0.8510725770606821,2.505254717927204
1987,28.073606,26.062393,0.35224724,0.26688576,3,6,0.6514278307745476,2.2265754994469953
1988,27.516336,25.689127,-0.20502281,-0.10638046,5,6,3.136098782652641,6.542959312656076
1989,27.68081,25.701874,-0.040548325,-0.09363365,7,10,3.7796746307708173,8.307070221845656
1990,27.8796,25.804667,0.15824127,0.009159088,8,12,1.886505001584855,5.681911983762105
1991,27.431044,25.740747,-0.29031563,-0.05475998,4,6,0.9354005181360617,2.5698511316467183
1992,27.443548,25.675955,-0.27781105,-0.11955261,4,6,2.3225657406513274,5.073533812956855
1993,27.435114,25.745783,-0.28624535,-0.04972458,4,6,0.9094330998380461,2.636734144081966
1994,27.35083,25.727509,-0.37052917,-0.067998886,3,4,0.5854983790227194,1.9185992349214303
1995,28.040411,25.87053,0.31905174,0.075021744,11,16,6.045684775369629,14.742988132121429
1996,27.60568,25.74581,-0.11567879,-0.049697876,9,10,4.529623522956056,10.697852091566403
1997,27.960527,26.11735,0.23916817,0.3218422,3,6,0.9613679364340779,2.6958998858516106
1998,28.15127,25.964533,0.42991066,0.16902542,10,12,5.148558996661497,11.922754441101736
1999,27.95182,25.679749,0.23046112,-0.115758896,8,11,4.903022793689013,10.690563558159996
2000,27.638397,25.721914,-0.082962036,-0.07359314,8,11,2.8695982271102807,7.58750618848779
2001,28.054937,25.834852,0.3335781,0.039344788,9,13,2.729152136581686,7.160198053484808
2002,27.71842,25.880438,-0.0029392242,0.08493042,4,8,1.6324477799805963,4.629790749684519
2003,28.226748,26.021996,0.50538826,0.22648811,7,12,5.071384594092334,10.848624694385192
2004,28.167488,25.92103,0.44612885,0.12552261,9,11,7.459129878039562,14.928488452935419
2005,28.250908,25.87366,0.52954865,0.0781517,15,20,7.351518014611434,16.39848560231363
2006,28.185663,25.934443,0.46430397,0.13893509,5,9,1.922673380496828,5.587446874318303
2007,27.76332,25.752197,0.04196167,-0.043310165,6,6,2.6928403928178386,5.589876385453762
2008,28.018057,25.872566,0.29669762,0.07705879,8,12,3.8078182539998133,9.709898533949112
2009,28.059977,26.042368,0.33861732,0.2468605,3,5,1.37375141881064,3.4999251592719474
2010,28.35483,25.776224,0.63347054,-0.019283295,12,14,4.523668367570601,10.828474043202755
2011,27.996576,25.71849,0.27521706,-0.07701683,7,16,2.8818467318907124,8.180021080702613
2012,28.217049,25.90989,0.4956894,0.11438179,10,13,2.8426529870020616,8.84084810955006
2013,28.163483,25.9049,0.4421234,0.109392166,2,12,0.6368891643860072,2.513400725852011
2014,28.062662,26.064964,0.34130287,0.26945686,6,6,1.882579010256672,4.7378325390030005
2015,28.325417,26.286703,0.6040573,0.49119568,4,9,1.6004663899476481,4.052424573961422
2016,28.103231,26.098465,0.38187218,0.30295753,7,12,4.086390865274159,9.732335783847274
2017,28.110865,26.007784,0.3895054,0.21227646,10,12,7.522633155375085,14.820589576036678
2018,27.757444,26.010843,0.03608513,0.21533585,8,15,3.4029044480079658,9.164258915406824
2019,28.151863,26.101835,0.43050385,0.30632782,6,10,4.255002635162788,9.497959415484425
2020,28.171953,26.018814,0.45059395,0.22330666,14,23,4.5617776860156205,12.051947268540728
2021,28.009798,25.949835,0.2884388,0.1543274,7,12,4.2085891833747535,9.93955879246076
2022,28.110962,25.91031,0.38960266,0.114803314,9,10,3.226437019441105,8.177162832307962
2023,28.972223,26.40983,1.250864,0.61432266,7,13,3.7559900220372135,10.190513001512683
2024,28.788664,26.256594,1.0673046,0.46108627,11,15,5.199100620979083,11.194615662559823
