year,count,median_21yr,lambda
1993,4,5.0,3.853554705855049
1994,3,5.0,4.4145460505045
1995,11,5.0,6.621616054783676
1996,9,5.0,4.960371270308677
1997,3,5.0,4.011203164694352
1998,10,5.0,5.3043754325330825
1999,8,5.0,6.732194746776076
2000,8,5.0,6.826837264158631
2001,9,5.0,5.052923620380627
2002,4,5.0,4.561399739985165
2003,7,5.0,5.900435631786949
2004,9,7.0,5.507629304671889
2005,15,7.0,5.724513678681747
2006,5,7.0,4.892230556207284
2007,6,7.0,4.992950401609999
2008,8,7.0,6.116508795033869
2009,3,7.0,3.5407518838325696
2010,12,8.0,7.680954593385581
2011,7,7.0,5.486608822080352
2012,10,8.0,4.54522106292048
2013,2,8.0,4.319528138221273
2014,6,8.0,2.762425140731479
2015,4,8.0,2.738845102924984
2016,7,7.0,3.259991470152066
2017,10,7.0,3.435928940392866
2018,8,8.0,3.965510921194788
