year,count,median_21yr,lambda
1993,4,5.0,4.019740409707851
1994,3,5.0,3.6972345589600013
1995,11,5.0,9.664931530096608
1996,9,5.0,5.6780355914272835
1997,3,5.0,4.662252820172243
1998,10,5.0,6.653897404047697
1999,8,5.0,6.503596135124611
2000,8,5.0,4.239086546288751
2001,9,5.0,5.6124346478676985
2002,4,5.0,3.0836764201813027
2003,7,5.0,5.014116542270031
2004,9,7.0,6.969220537458128
2005,15,7.0,7.3899796383229
2006,5,7.0,5.239916442744648
2007,6,7.0,4.974648910483717
2008,8,7.0,6.31108240649517
2009,3,7.0,4.096196033519309
2010,12,8.0,9.661010862943117
2011,7,7.0,7.807827449507918
2012,10,8.0,5.01370213376836
2013,2,8.0,4.9417401147528315
2014,6,8.0,3.6723620399758343
2015,4,8.0,2.645069381461438
2016,7,7.0,4.137757950336101
2017,10,7.0,5.319746214341501
2018,8,8.0,3.1695141080808256
