year,count,median_21yr,lambda
1993,4,5.0,4.45353177435798
1994,3,5.0,3.8471755816478703
1995,11,5.0,9.925603744827088
1996,9,5.0,4.955787629477027
1997,3,5.0,5.563003346913
1998,10,5.0,7.131862918908101
1999,8,5.0,8.43406205984484
2000,8,5.0,5.061764555671699
2001,9,5.0,6.0158670821759435
2002,4,5.0,3.4398056683378826
2003,7,5.0,5.881709032229844
2004,9,7.0,5.282941540702834
2005,15,7.0,6.426766255500301
2006,5,7.0,7.516622050523165
2007,6,7.0,5.816824511481454
2008,8,7.0,6.99836823171248
2009,3,7.0,3.1889084203128957
2010,12,8.0,9.960489841102
2011,7,7.0,6.640948376577501
2012,10,8.0,5.264766761998657
2013,2,8.0,4.482005841538738
2014,6,8.0,3.378710440133508
2015,4,8.0,2.6181193590433263
2016,7,7.0,4.519026342333483
2017,10,7.0,5.94660812544374
2018,8,8.0,3.5720601305915953
