year,count,median_21yr,lambda
1993,4,5.0,4.601253029614856
1994,3,5.0,5.089869165753674
1995,11,5.0,8.112589169338023
1996,9,5.0,5.328158364826595
1997,3,5.0,5.5599296161622975
1998,10,5.0,6.660456927998753
1999,8,5.0,7.56022483454866
2000,8,5.0,5.935511128085268
2001,9,5.0,5.391473836629553
2002,4,5.0,4.549824281990425
2003,7,5.0,6.15788314329439
2004,9,7.0,5.265095980882221
2005,15,7.0,6.151758688770589
2006,5,7.0,7.278365376944826
2007,6,7.0,7.0258868595367385
2008,8,7.0,6.45513800621222
2009,3,7.0,3.022632816189445
2010,12,8.0,8.42074225106272
2011,7,7.0,5.59219489442661
2012,10,8.0,4.634358483326234
2013,2,8.0,5.415901371969973
2014,6,8.0,3.4021540766169993
2015,4,8.0,2.9455086676725646
2016,7,7.0,4.037825312821565
2017,10,7.0,4.5260356106649935
2018,8,8.0,3.6970045420414257
