year,count,median_21yr,lambda
1993,4,5.0,2.845655272977229
1994,3,5.0,3.099693175983518
1995,11,5.0,5.580767060082002
1996,9,5.0,4.265359676896904
1997,3,5.0,3.9365621039166108
1998,10,5.0,5.4385975812165
1999,8,5.0,6.400814267621623
2000,8,5.0,5.316164990306167
2001,9,5.0,4.134203550024298
2002,4,5.0,3.7831223327214185
2003,7,5.0,5.341300360639762
2004,9,7.0,5.184767690966193
2005,15,7.0,4.945399062133056
2006,5,7.0,4.037810813413848
2007,6,7.0,4.498866060280442
2008,8,7.0,5.738094444592961
2009,3,7.0,2.9411766515543025
2010,12,8.0,8.385481101032845
2011,7,7.0,4.6821775272494275
2012,10,8.0,3.9344081640832465
2013,2,8.0,4.1286676944113845
2014,6,8.0,2.300514449937952
2015,4,8.0,2.1904407362958147
2016,7,7.0,3.123658761415739
2021,7,7.0,3.898974231500975
2022,9,7.0,4.077199516396814
2023,7,7.0,4.208467390943993
2024,11,7.0,7.1841148260456364
