year,count,median_21yr,lambda
1993,4,5.0,4.914811633984279
1994,3,5.0,4.5295888081661895
1995,11,5.0,12.565417591550487
1996,9,5.0,6.862164932211173
1997,3,5.0,5.735020813615034
1998,10,5.0,8.894550011178717
1999,8,5.0,8.112271699856842
2000,8,5.0,6.611144832637897
2001,9,5.0,6.7768420580425115
2002,4,5.0,4.374981240226753
2003,7,5.0,5.940589977980105
2004,9,7.0,8.287086129339649
2005,15,7.0,11.208103851048657
2006,5,7.0,7.326349993216044
2007,6,7.0,6.6952469743709955
2008,8,7.0,9.91429243805435
2009,3,7.0,5.87770573064241
2010,12,8.0,16.467562509137863
2011,7,7.0,11.164486186066572
2012,10,8.0,7.362439090760365
2013,2,8.0,7.073291266216512
2014,6,8.0,4.454175404769593
2015,4,8.0,3.5368469797532427
2016,7,7.0,5.926843335313495
2021,7,7.0,6.136417726497942
2022,9,7.0,7.425533093134775
2023,7,7.0,14.556192136716612
2024,11,7.0,12.697565838544596
