year,count,median_21yr,lambda
1993,4,5.0,4.187327675314145
1994,3,5.0,3.623363656062966
1995,11,5.0,9.170013526904905
1996,9,5.0,5.685846525161554
1997,3,5.0,5.827374991502688
1998,10,5.0,6.922461561380809
1999,8,5.0,9.157281704015933
2000,8,5.0,5.274096275629652
2001,9,5.0,5.487575024482559
2002,4,5.0,3.277488384306274
2003,7,5.0,6.353458680930844
2004,9,7.0,5.855700427805436
2005,15,7.0,8.712650693553567
2006,5,7.0,7.3855472359111225
2007,6,7.0,6.21325659853285
2008,8,7.0,8.215846745996085
2009,3,7.0,3.324782999842393
2010,12,8.0,14.073241349482771
2011,7,7.0,7.799254541705574
2012,10,8.0,5.301666632358794
2013,2,8.0,5.65313297261245
2014,6,8.0,3.6960399506908646
2015,4,8.0,2.432694847918033
2016,7,7.0,5.546789033244525
2021,7,7.0,5.22224421590488
2022,9,7.0,6.901713361299634
2023,7,7.0,9.167921818854971
2024,11,7.0,13.669683133737486
