year,count,median_21yr,lambda
1993,4,5.0,3.538122005684934
1994,3,5.0,4.151684012531902
1995,11,5.0,6.575557831054961
1996,9,5.0,5.0005576104403096
1997,3,5.0,4.450837112269746
1998,10,5.0,6.091778738352055
1999,8,5.0,7.954316537631225
2000,8,5.0,5.350322285192304
2001,9,5.0,4.189275901962458
2002,4,5.0,4.056900137702493
2003,7,5.0,5.499297412974705
2004,9,7.0,4.770910612436904
2005,15,7.0,5.639558751066627
2006,5,7.0,5.666481853427402
2007,6,7.0,6.1461351649467275
2008,8,7.0,6.404556527187924
2009,3,7.0,2.671928690488784
2010,12,8.0,12.4882820855172
2011,7,7.0,5.85012478830393
2012,10,8.0,4.0720753405168315
2013,2,8.0,5.381963461950136
2014,6,8.0,3.119132732025498
2015,4,8.0,2.2868207788417716
2016,7,7.0,4.268293554123523
2021,7,7.0,4.823399958333411
2022,9,7.0,5.246650880278996
2023,7,7.0,5.9941505056417235
2024,11,7.0,8.284789003535488
