year,count,median_21yr,lambda
1993,4,5.0,4.535900685560699
1994,3,5.0,3.951783002552844
1995,11,5.0,4.632041459206765
1996,9,5.0,7.063978163000651
1997,3,5.0,8.161413597138472
1998,10,5.0,9.453865505361842
1999,8,5.0,7.26044366835976
2000,8,5.0,6.288355277738242
2001,9,5.0,6.231762448736722
2002,4,5.0,5.82190206901551
2003,7,5.0,5.087413517439066
2004,9,7.0,6.532555854573388
2005,15,7.0,8.562403736736906
2006,5,7.0,6.323775419160949
2007,6,7.0,6.901774512615641
2008,8,7.0,6.931702602067205
2009,3,7.0,4.998766959929089
2010,12,8.0,11.853028017603918
2011,7,7.0,8.140426465547558
2012,10,8.0,7.785861640673069
2013,2,8.0,6.424357650259117
2014,6,8.0,3.1318289631009457
2015,4,8.0,2.9676548967474536
2016,7,7.0,3.738207207207123
2017,10,7.0,4.527352765202326
2018,8,8.0,7.887280621023408
2019,6,7.0,4.496326097132763
2020,14,7.0,6.7088497334919595
2021,7,7.0,8.184387310542181
2022,9,7.0,6.871239505868914
2023,7,7.0,7.11852985267378
