year,count,median_21yr,lambda
1993,4,5.0,3.2973239867541335
1994,3,5.0,2.0497152831097516
1995,11,5.0,4.569077293127991
1996,9,5.0,6.127382494580514
1997,3,5.0,4.703823753820764
1998,10,5.0,6.068499770085508
1999,8,5.0,4.75109912841731
2000,8,5.0,4.105268374213371
2001,9,5.0,2.6391538748900394
2002,4,5.0,3.4142428298617027
2003,7,5.0,5.422915332638944
2004,9,7.0,4.905640925946512
2005,15,7.0,7.9827320979290395
2006,5,7.0,5.8329407564185285
2007,6,7.0,3.544319572762112
2008,8,7.0,4.057688368144779
2009,3,7.0,3.6248259906914018
2010,12,8.0,9.1488424219878
2011,7,7.0,6.745778629192298
2012,10,8.0,4.674768946742635
2013,2,8.0,3.1745360283114117
2014,6,8.0,1.7014479510118905
2015,4,8.0,1.5224078488231134
2016,7,7.0,2.4230680231579202
2017,10,7.0,3.383834010402878
2018,8,8.0,2.4628959182059122
2019,6,7.0,2.770475656550252
2020,14,7.0,4.4951470547336765
2021,7,7.0,2.9911304948819213
2022,9,7.0,5.415058563662472
2023,7,7.0,8.268365008041808
