year,count,median_21yr,lambda
1993,4,5.0,3.304452134629794
1994,3,5.0,2.6073132951730695
1995,11,5.0,5.571173493958642
1996,9,5.0,5.6373202153685815
1997,3,5.0,8.787784125395154
1998,10,5.0,7.984627231027345
1999,8,5.0,8.069487520520626
2000,8,5.0,5.719446003934423
2001,9,5.0,4.194845272652302
2002,4,5.0,4.374572706976953
2003,7,5.0,6.0532257307733754
2004,9,7.0,5.292495997960857
2005,15,7.0,9.056745202299346
2006,5,7.0,9.224014768999366
2007,6,7.0,4.975364259990972
2008,8,7.0,5.215370005701382
2009,3,7.0,3.3657860771167454
2010,12,8.0,11.864479270461796
2011,7,7.0,9.41793561983517
2012,10,8.0,5.980762056123496
2013,2,8.0,5.770646789749283
2014,6,8.0,3.0068183620740627
2015,4,8.0,2.5528860086576852
2016,7,7.0,4.063635900407533
2017,10,7.0,4.282234249098863
2018,8,8.0,3.47330506195929
2019,6,7.0,2.5897775153740907
2020,14,7.0,6.837810166624519
2021,7,7.0,6.1700005295677185
2022,9,7.0,6.658904194867075
2023,7,7.0,13.55516491631195
