year,count,median_21yr,lambda
1993,4,5.0,5.05528111148664
1994,3,5.0,3.694350830236208
1995,11,5.0,5.43939856973168
1996,9,5.0,7.142604779087734
1997,3,5.0,7.785421132276867
1998,10,5.0,10.946521545173148
1999,8,5.0,8.106145248580013
2000,8,5.0,6.034906206915798
2001,9,5.0,4.794484606944049
2002,4,5.0,4.917172414288392
2003,7,5.0,5.68540655770266
2004,9,7.0,5.400085818639017
2005,15,7.0,8.066882743611117
2006,5,7.0,8.936730350048549
2007,6,7.0,6.013580845879007
2008,8,7.0,6.091696816178578
2009,3,7.0,5.3742603836686085
2010,12,8.0,13.02614598550854
2011,7,7.0,8.919988681797895
2012,10,8.0,7.7700390272145645
2013,2,8.0,7.410079486535909
2014,6,8.0,2.633822969208364
2015,4,8.0,2.7961685405604744
2016,7,7.0,4.516974343677813
2017,10,7.0,6.514313223518051
2018,8,8.0,5.397433888803255
2019,6,7.0,3.5374461472788243
2020,14,7.0,7.7152318975645855
2021,7,7.0,6.716663186105077
2022,9,7.0,6.841773744684844
2023,7,7.0,8.465925368137011
