year,count,median_21yr,lambda
1993,4,5.0,3.9802342236362658
1994,3,5.0,4.300428989463549
1995,11,5.0,4.26001375747299
1996,9,5.0,5.6378279778301055
1997,3,5.0,3.1217064177838654
1998,10,5.0,7.441901799005669
1999,8,5.0,5.356375679317788
2000,8,5.0,3.682651637842265
2001,9,5.0,3.4970964708048182
2002,4,5.0,3.6417885640656427
2003,7,5.0,5.137859097017683
2004,9,7.0,5.364804712706389
2005,15,7.0,6.645140352055374
2006,5,7.0,4.284454090073591
2007,6,7.0,5.455326319454292
2008,8,7.0,4.231470853408147
2009,3,7.0,2.4094577034844384
2010,12,8.0,9.39026250178434
2011,7,7.0,4.282268226922406
2012,10,8.0,3.474188446100688
2013,2,8.0,3.450729341310557
2014,6,8.0,2.484450538530099
2015,4,8.0,2.4563237517612655
2016,7,7.0,3.0920382626419225
2017,10,7.0,3.591988112742874
2018,8,8.0,2.6639268671993555
2019,6,7.0,3.0273679944866076
2020,14,7.0,5.156206062253845
2021,7,7.0,3.691601346853441
2022,9,7.0,4.128102678804553
2023,7,7.0,3.27612884741775
2024,11,7.0,7.963477963786372
