year,count,median_21yr,lambda
1993,4,5.0,5.01018800096033
1994,3,5.0,3.314116056023544
1995,11,5.0,10.776882497612135
1996,9,5.0,5.592103762598566
1997,3,5.0,4.9577089845782885
1998,10,5.0,8.785381812274814
1999,8,5.0,8.890301721379311
2000,8,5.0,4.956707144853695
2001,9,5.0,4.909377969449151
2002,4,5.0,2.912359366349706
2003,7,5.0,5.924393134644313
2004,9,7.0,6.006174264522613
2005,15,7.0,11.619459831498054
2006,5,7.0,5.550609069454292
2007,6,7.0,5.223330118274299
2008,8,7.0,6.626633877722211
2009,3,7.0,4.176604416446995
2010,12,8.0,15.58989733501131
2011,7,7.0,9.662834464348647
2012,10,8.0,5.658131300578896
2013,2,8.0,4.660245008476112
2014,6,8.0,3.233113311279928
2015,4,8.0,2.092419442801915
2016,7,7.0,4.19677261991637
2017,10,7.0,5.386215897956808
2018,8,8.0,2.2393018060107512
2019,6,7.0,3.7687351873233172
2020,14,7.0,5.9706193594073795
2021,7,7.0,5.112030116948951
2022,9,7.0,5.711164963547884
2023,7,7.0,10.644669006919914
2024,11,7.0,10.305804135991256
