year,count,median_21yr,lambda
1993,4,5.0,5.0596372430477485
1994,3,5.0,4.027868406709609
1995,11,5.0,10.332889151193204
1996,9,5.0,6.421833927199549
1997,3,5.0,4.721370996680699
1998,10,5.0,9.72793138225643
1999,8,5.0,8.437761180943491
2000,8,5.0,5.914735125595542
2001,9,5.0,5.873560619360881
2002,4,5.0,3.954732624006487
2003,7,5.0,6.319791314425029
2004,9,7.0,6.8050438009936665
2005,15,7.0,11.7733212362709
2006,5,7.0,7.333230021840698
2007,6,7.0,7.390051430567728
2008,8,7.0,7.369668319197733
2009,3,7.0,3.0875536212520123
2010,12,8.0,19.86011602959933
2011,7,7.0,10.132174787965724
2012,10,8.0,6.394596251005067
2013,2,8.0,4.805053576641232
2014,6,8.0,3.1338421821152505
2015,4,8.0,2.196878023162463
2016,7,7.0,5.1021850770305255
2017,10,7.0,5.384811338657455
2018,8,8.0,3.0389637057748278
2019,6,7.0,3.826307730110287
2020,14,7.0,6.847880014450545
2021,7,7.0,5.459835885418708
2022,9,7.0,6.118529672290007
2023,7,7.0,9.067965009346665
2024,11,7.0,12.345574619544246
