year,count,median_21yr,lambda
1993,4,5.0,3.757051868580229
1994,3,5.0,4.092738536331075
1995,11,5.0,7.2214414197410575
1996,9,5.0,5.11166263019046
1997,3,5.0,3.9354191916012335
1998,10,5.0,7.3188295606914275
1999,8,5.0,6.811927709756634
2000,8,5.0,4.770892218763843
2001,9,5.0,4.491799028023781
2002,4,5.0,3.4829392390380427
2003,7,5.0,6.013325330401048
2004,9,7.0,4.869314342912046
2005,15,7.0,8.008193294875776
2006,5,7.0,5.55798055505621
2007,6,7.0,6.57545060720585
2008,8,7.0,5.622491494962516
2009,3,7.0,2.5452272795528907
2010,12,8.0,12.870032151454025
2011,7,7.0,5.538688789526009
2012,10,8.0,4.255542146824852
2013,2,8.0,5.327007155185607
2014,6,8.0,2.8644462510152033
2015,4,8.0,2.6021979557067265
2016,7,7.0,4.209036212928402
2017,10,7.0,3.491439365173834
2018,8,8.0,2.755224315920488
2019,6,7.0,3.104078489067727
2020,14,7.0,4.844569210895704
2021,7,7.0,4.780962890641022
2022,9,7.0,5.668189767877679
2023,7,7.0,4.449949514501466
2024,11,7.0,8.431492612237498
