year,count,median_21yr,lambda
1981,7,6.0,6.930975017379786
1982,2,6.0,4.16606372428416
1983,3,6.0,4.846670635713949
1984,5,5.0,4.751128561892362
1985,7,5.0,3.1360514801863344
1986,4,5.0,3.398134357028553
1987,3,5.0,5.283344827511452
1988,5,5.0,4.968167834218941
1989,7,5.0,2.7021504602823563
1990,8,5.0,4.1389759615082955
1991,4,5.0,3.8613122631582333
1992,4,5.0,4.34264050529255
1993,4,5.0,4.9896847505572515
1994,3,5.0,3.595992817402196
1995,11,5.0,5.567273440074518
1996,9,5.0,4.524340046226895
1997,3,5.0,4.1284182280093855
1998,10,5.0,6.094959682301785
1999,8,5.0,6.172273587624648
2000,8,5.0,5.146796075526689
2001,9,5.0,4.573409706687153
2002,4,5.0,4.094798913295932
2003,7,5.0,4.966392924868808
2004,9,7.0,5.796016893447119
2005,15,7.0,6.202061610223786
2006,5,7.0,5.456057396813705
2007,6,7.0,5.216333439898498
2008,8,7.0,4.777153266328959
2009,3,7.0,2.536018178357229
2010,12,8.0,8.26080452432185
2011,7,7.0,4.969645809015419
2012,10,8.0,4.152613033796409
2013,2,8.0,4.601422565396724
2014,6,8.0,2.3833033990934966
2015,4,8.0,2.3404604338005863
2016,7,7.0,2.651169638199793
2017,10,7.0,2.8942611379484733
2018,8,8.0,2.8753533109222458
2019,6,7.0,2.9987028127190407
2020,14,7.0,4.72154976128365
2021,7,7.0,4.436853142781427
2022,9,7.0,3.561757198420075
2023,7,7.0,4.550632504827424
2024,11,7.0,6.35339482609653
