year,count,median_21yr,lambda
1981,7,6.0,7.944178143471556
1982,2,6.0,4.573936332306156
1983,3,6.0,5.131457959161854
1984,5,5.0,4.2776525018856315
1985,7,5.0,7.2473917263399334
1986,4,5.0,4.096883415747899
1987,3,5.0,7.953300870308173
1988,5,5.0,7.794998419914277
1989,7,5.0,8.36966790548222
1990,8,5.0,6.487747942822993
1991,4,5.0,4.358271620818695
1992,4,5.0,5.419721572617492
1993,4,5.0,4.738784702029857
1994,3,5.0,3.9726639493308613
1995,11,5.0,12.245582538554803
1996,9,5.0,5.988354464197521
1997,3,5.0,6.714349538977424
1998,10,5.0,8.500470724715179
1999,8,5.0,9.139132052420472
2000,8,5.0,5.940874372161529
2001,9,5.0,6.3720771295218
2002,4,5.0,3.581590575815628
2003,7,5.0,6.279133891885514
2004,9,7.0,9.007128018009052
2005,15,7.0,11.641834836110771
2006,5,7.0,6.605667070510905
2007,6,7.0,5.6498666766977355
2008,8,7.0,8.48858448860799
2009,3,7.0,5.770894106805505
2010,12,8.0,14.459409331201059
2011,7,7.0,11.028966234440194
2012,10,8.0,7.868488032398201
2013,2,8.0,5.039432299173763
2014,6,8.0,4.0001541828408635
2015,4,8.0,2.84249737764143
2016,7,7.0,4.882447280668482
2017,10,7.0,5.779956571222264
2018,8,8.0,2.7814487465920212
2019,6,7.0,4.901138570588228
2020,14,7.0,6.12204380655951
2021,7,7.0,5.205683434510158
2022,9,7.0,5.801403929480648
2023,7,7.0,13.713718716894064
2024,11,7.0,9.946330959243287
