year,count,median_21yr,lambda
1981,7,6.0,7.387221540136926
1982,2,6.0,4.743885118870415
1983,3,6.0,5.070667640699639
1984,5,5.0,4.261358354462097
1985,7,5.0,5.882165686546091
1986,4,5.0,3.6699595628818327
1987,3,5.0,6.484901861952929
1988,5,5.0,9.357665067613686
1989,7,5.0,6.08600301352065
1990,8,5.0,6.513431467951927
1991,4,5.0,4.308461552105915
1992,4,5.0,4.972041627810373
1993,4,5.0,5.222697962706084
1994,3,5.0,3.8479925826837316
1995,11,5.0,9.597734678218808
1996,9,5.0,5.338344403130841
1997,3,5.0,5.635061301420855
1998,10,5.0,9.086360976736959
1999,8,5.0,10.054000670068298
2000,8,5.0,5.294048376664332
2001,9,5.0,6.619982609090897
2002,4,5.0,3.8897716088239846
2003,7,5.0,7.1402601163051544
2004,9,7.0,5.981147121447178
2005,15,7.0,11.627951175962343
2006,5,7.0,8.655186724860947
2007,6,7.0,5.608272882339353
2008,8,7.0,8.050773208908145
2009,3,7.0,3.903719194644518
2010,12,8.0,13.858572042003953
2011,7,7.0,10.210672555061624
2012,10,8.0,6.87848474156733
2013,2,8.0,4.566844752407672
2014,6,8.0,3.2512726976435133
2015,4,8.0,2.1625551144793063
2016,7,7.0,4.5645460671238345
2017,10,7.0,6.062316082797665
2018,8,8.0,2.675725424177816
2019,6,7.0,3.789558347120061
2020,14,7.0,5.101411586611095
2021,7,7.0,5.708572103369726
2022,9,7.0,6.93419589381648
2023,7,7.0,11.056409946762702
2024,11,7.0,14.397867986970835
