year,count,median_21yr,lambda
1981,7,6.0,6.1831649697513935
1982,2,6.0,5.413989142328774
1983,3,6.0,5.400555292306803
1984,5,5.0,6.152725108440218
1985,7,5.0,3.8421959977480715
1986,4,5.0,3.7010398488440024
1987,3,5.0,5.735894458049368
1988,5,5.0,6.616049661385391
1989,7,5.0,3.6491521491300984
1990,8,5.0,5.2248466365134245
1991,4,5.0,3.5822990651432476
1992,4,5.0,4.884674650212456
1993,4,5.0,5.259304477894046
1994,3,5.0,3.754264809875277
1995,11,5.0,7.560180536486054
1996,9,5.0,5.7643923664365895
1997,3,5.0,5.835960065446453
1998,10,5.0,7.80531602749965
1999,8,5.0,8.853708182358263
2000,8,5.0,5.979756707751984
2001,9,5.0,5.810741933599451
2002,4,5.0,4.127086567665863
2003,7,5.0,5.832632930713193
2004,9,7.0,4.831124538749596
2005,15,7.0,8.581430692465347
2006,5,7.0,7.096546563393883
2007,6,7.0,7.285955256442972
2008,8,7.0,6.886789778317743
2009,3,7.0,2.794854333985129
2010,12,8.0,13.215256644809076
2011,7,7.0,6.571521587927532
2012,10,8.0,5.850993587771603
2013,2,8.0,5.098196765703228
2014,6,8.0,3.5190114235164085
2015,4,8.0,2.7799845311780715
2016,7,7.0,3.601493287737775
2017,10,7.0,4.354046407467496
2018,8,8.0,2.9349197624996033
2019,6,7.0,3.4807438909674406
2020,14,7.0,4.507918790392022
2021,7,7.0,4.878540611889666
2022,9,7.0,5.086893023994729
2023,7,7.0,8.176219822664136
2024,11,7.0,9.106819783220192
