year,count,median_21yr,lambda
1993,4,5.0,3.638132237776512
1994,3,5.0,3.2251140455424494
1995,11,5.0,4.635743802709162
1996,9,5.0,4.455045173951137
1997,3,5.0,3.356858663998193
1998,10,5.0,6.657206561432534
1999,8,5.0,5.511861266820862
2000,8,5.0,5.182974924943446
2001,9,5.0,3.7523582205219177
2002,4,5.0,3.9222583693378863
2003,7,5.0,5.5568322030524655
2004,9,7.0,5.891075438129369
2005,15,7.0,5.9111087212621545
2006,5,7.0,4.9372522402996815
2007,6,7.0,4.865400364734866
2008,8,7.0,5.180233477716223
2009,3,7.0,2.782562748797312
2010,12,8.0,9.424167731927152
2011,7,7.0,4.934310875282374
2012,10,8.0,4.25667852100363
2013,2,8.0,4.164462853763645
2014,6,8.0,2.5502162294766597
2015,4,8.0,2.3183943782876226
2016,7,7.0,3.3969469597133792
2017,10,7.0,3.2374974152990506
2018,8,8.0,4.106442317037807
2019,6,7.0,2.8415358437307736
2020,14,7.0,4.577839736232966
2022,9,7.0,4.474721486524982
2023,7,7.0,4.348467686288482
2024,11,7.0,6.916472207941936
