year,count,median_21yr,lambda
1993,4,5.0,4.8576967821144255
1994,3,5.0,4.337343679460101
1995,11,5.0,11.579556825901545
1996,9,5.0,6.2782856937865335
1997,3,5.0,5.9433342911315306
1998,10,5.0,8.778974210267394
1999,8,5.0,9.174337709757667
2000,8,5.0,6.1063559639813585
2001,9,5.0,5.766495465507738
2002,4,5.0,3.058554950169804
2003,7,5.0,7.336826203154057
2004,9,7.0,8.613326069098342
2005,15,7.0,12.120984688289438
2006,5,7.0,6.777023986816976
2007,6,7.0,6.766294893150665
2008,8,7.0,8.948453855191527
2009,3,7.0,5.061797201027704
2010,12,8.0,15.979167585826806
2011,7,7.0,11.473909796921
2012,10,8.0,7.6521819894967
2013,2,8.0,6.170288311470418
2014,6,8.0,4.100457160486854
2015,4,8.0,3.174970690231534
2016,7,7.0,5.309028027266743
2017,10,7.0,6.781273574541098
2018,8,8.0,3.744067004042142
2019,6,7.0,5.984553981789878
2020,14,7.0,7.683396144116229
2022,9,7.0,6.6873691825109685
2023,7,7.0,12.72924380301463
2024,11,7.0,13.631797992708812
