year,count,median_21yr,lambda
1993,4,5.0,4.302512207946326
1994,3,5.0,3.6425239310594177
1995,11,5.0,12.11657205453869
1996,9,5.0,4.723804159220952
1997,3,5.0,5.523908284558492
1998,10,5.0,8.110645760996286
1999,8,5.0,8.964019758773965
2000,8,5.0,5.569918500451987
2001,9,5.0,4.927644044691836
2002,4,5.0,3.7209152223077813
2003,7,5.0,7.117265771256191
2004,9,7.0,5.699429422544978
2005,15,7.0,9.435933326179674
2006,5,7.0,6.964367579923676
2007,6,7.0,6.2556745707895125
2008,8,7.0,7.6241236352980675
2009,3,7.0,3.472502829064963
2010,12,8.0,13.630395142327826
2011,7,7.0,8.920186948316811
2012,10,8.0,5.347394679769684
2013,2,8.0,5.790469043396582
2014,6,8.0,3.0404395244173603
2015,4,8.0,2.8373367403921486
2016,7,7.0,5.370426501084805
2017,10,7.0,6.177301029023596
2018,8,8.0,3.4966043704972076
2019,6,7.0,4.062012448724207
2020,14,7.0,6.071138397655549
2022,9,7.0,7.401570819358168
2023,7,7.0,8.080869031605044
2024,11,7.0,12.688646938046235
