year,count,median_21yr,lambda
1993,4,5.0,3.8597440414318966
1994,3,5.0,3.4672990728412176
1995,11,5.0,6.9796117799233715
1996,9,5.0,5.331025926481942
1997,3,5.0,4.391267544501455
1998,10,5.0,6.376732979100224
1999,8,5.0,5.156110706053262
2000,8,5.0,4.578664440087926
2001,9,5.0,3.71969669193123
2002,4,5.0,3.7384149545361187
2003,7,5.0,4.870777526562767
2004,9,7.0,5.178987049698982
2005,15,7.0,8.17739480618388
2006,5,7.0,5.735383230962757
2007,6,7.0,6.551796842939688
2008,8,7.0,6.454369245476521
2009,3,7.0,2.5446998230179756
2010,12,8.0,11.430051132538454
2011,7,7.0,5.485769463717027
2012,10,8.0,3.701230507907105
2013,2,8.0,5.08112763980841
2014,6,8.0,2.772585655576552
2015,4,8.0,2.3619245790493486
2016,7,7.0,3.6002289350999797
2017,10,7.0,4.598198992081301
2018,8,8.0,3.8037285422578364
2019,6,7.0,3.576502093468939
2020,14,7.0,4.871491071624835
2022,9,7.0,5.353297563478455
2023,7,7.0,6.226049007155459
2024,11,7.0,8.370744748736543
