year,count,median_21yr,lambda
1993,4,5.0,5.334907115517708
1994,3,5.0,4.631029158921382
1995,11,5.0,5.762964638831405
1996,9,5.0,5.7707462905898925
1997,3,5.0,4.947622083443655
1998,10,5.0,8.008625307759427
1999,8,5.0,6.297666632805075
2000,8,5.0,5.938244275592277
2001,9,5.0,5.174599119592786
2002,4,5.0,5.11245665727525
2003,7,5.0,5.865527076546471
2004,9,7.0,6.208976852176013
2005,15,7.0,6.8157591102938335
2006,5,7.0,4.811243117909923
2007,6,7.0,6.497486734912683
2008,8,7.0,6.1273177953876985
2009,3,7.0,3.8803663350555846
2010,12,8.0,8.0788086332616
2011,7,7.0,5.417073445534723
2012,10,8.0,4.902921181286407
2013,2,8.0,5.644875075378339
2014,6,8.0,3.5741143721954436
2015,4,8.0,3.2210122012252986
2016,7,7.0,3.57608281479781
2017,10,7.0,4.146028124538026
2018,8,8.0,4.719437198349436
2019,6,7.0,4.085937741942334
2020,14,7.0,5.571454428643908
2021,7,7.0,4.57829160971918
2022,9,7.0,4.77720968628841
2023,7,7.0,4.879209978253207
2024,11,7.0,6.944451767004073
