year,count,median_21yr,lambda
1993,4,5.0,3.5269373958440458
1994,3,5.0,2.997296676939206
1995,11,5.0,9.333476533742402
1996,9,5.0,5.123784889081101
1997,3,5.0,4.7539334562616755
1998,10,5.0,7.178710065371552
1999,8,5.0,6.385993627168408
2000,8,5.0,4.670663636053547
2001,9,5.0,4.780276075365526
2002,4,5.0,2.8208353967296778
2003,7,5.0,5.413850633127552
2004,9,7.0,5.155530529380768
2005,15,7.0,8.100457671561898
2006,5,7.0,5.07079731824534
2007,6,7.0,4.8078524514434875
2008,8,7.0,6.526905111294917
2009,3,7.0,4.00310167085587
2010,12,8.0,10.462940296516312
2011,7,7.0,8.363062405894592
2012,10,8.0,4.717721586952196
2013,2,8.0,4.938239347436907
2014,6,8.0,3.4507575288408563
2015,4,8.0,2.2805847158792742
2016,7,7.0,3.436744259347123
2017,10,7.0,5.196877281242193
2018,8,8.0,2.7364567321252475
2019,6,7.0,3.547211363931717
2020,14,7.0,4.736499159970753
2021,7,7.0,3.8684449719955616
2022,9,7.0,3.9992097185597544
2023,7,7.0,6.722169055024227
2024,11,7.0,5.390840195800151
