year,count,median_21yr,lambda
1993,4,5.0,3.776437049075452
1994,3,5.0,3.8419316760753133
1995,11,5.0,9.01959143576594
1996,9,5.0,4.8407290923904895
1997,3,5.0,5.594058644140621
1998,10,5.0,7.592365467492623
1999,8,5.0,6.987667004691663
2000,8,5.0,4.9092245038455244
2001,9,5.0,5.297496845497487
2002,4,5.0,4.013819885069113
2003,7,5.0,5.975045455013429
2004,9,7.0,4.9724775806251245
2005,15,7.0,7.821835617136905
2006,5,7.0,6.509073610465752
2007,6,7.0,5.331254456600389
2008,8,7.0,5.776310970036481
2009,3,7.0,3.7101495443042802
2010,12,8.0,13.078970374789156
2011,7,7.0,7.605464517572225
2012,10,8.0,4.559982039880465
2013,2,8.0,5.241258522305516
2014,6,8.0,3.3035336754263613
2015,4,8.0,2.7871214876408352
2016,7,7.0,3.6613899557332537
2017,10,7.0,5.469916083801587
2018,8,8.0,3.2666996107621915
2019,6,7.0,4.034451969238576
2020,14,7.0,4.926280389223663
2021,7,7.0,4.1561068222290825
2022,9,7.0,4.34559889382371
2023,7,7.0,7.314008958698558
2024,11,7.0,5.10892569302734
