year,count,median_21yr,lambda
1993,4,5.0,4.727424563039433
1994,3,5.0,4.412675707494591
1995,11,5.0,6.902849909482613
1996,9,5.0,6.046146655933068
1997,3,5.0,6.196587066866654
1998,10,5.0,7.396270758507785
1999,8,5.0,6.268558713255546
2000,8,5.0,4.801427839541828
2001,9,5.0,4.8937520503169125
2002,4,5.0,4.9284571650188775
2003,7,5.0,6.109006825902602
2004,9,7.0,5.418228410847143
2005,15,7.0,6.462775953228427
2006,5,7.0,6.545795046148761
2007,6,7.0,6.2787074153109295
2008,8,7.0,6.643977500172713
2009,3,7.0,3.678819298534186
2010,12,8.0,10.208707763010105
2011,7,7.0,5.62401972266353
2012,10,8.0,4.385384347702343
2013,2,8.0,5.506387673246593
2014,6,8.0,3.5880392222730957
2015,4,8.0,2.933465112988651
2016,7,7.0,4.124723733234846
2017,10,7.0,4.835548705269325
2018,8,8.0,8.120522841293365
2019,6,7.0,4.152071308248436
2020,14,7.0,5.009052295453488
2021,7,7.0,4.440912952230667
2022,9,7.0,3.7851253730869012
2023,7,7.0,5.681194958228887
2024,11,7.0,5.82045068318951
