year,count,median_21yr,lambda
1993,4,5.0,4.028061642824652
1994,3,5.0,5.132733256513571
1995,11,5.0,6.572060680168692
1996,9,5.0,4.514761842145747
1997,3,5.0,4.907767643606961
1998,10,5.0,6.58343684242705
1999,8,5.0,5.009559014766961
2000,8,5.0,4.386876240577823
2001,9,5.0,4.193163046275037
2002,4,5.0,4.136209821832263
2003,7,5.0,5.329735408707805
2004,9,7.0,4.583480614618176
2005,15,7.0,6.077253436190583
2006,5,7.0,4.226167579955123
2007,6,7.0,5.86796075113379
2008,8,7.0,4.848169428547432
2009,3,7.0,3.263960167089459
2010,12,8.0,7.591462738368227
2011,7,7.0,4.450672988866256
2012,10,8.0,4.603047654746911
2013,2,8.0,6.031218640006108
2014,6,8.0,4.179954682064525
2015,4,8.0,3.6111514493842867
2016,7,7.0,4.127820871843865
2020,14,7.0,6.503647672411629
2021,7,7.0,5.422927082742877
2022,9,7.0,6.533156547191778
2023,7,7.0,4.808466041507628
2024,11,7.0,9.984258112426698
