year,count,median_21yr,lambda
1993,4,5.0,4.673585519857277
1994,3,5.0,4.091847010638424
1995,11,5.0,9.350536448447905
1996,9,5.0,5.2382680345252055
1997,3,5.0,4.42685852405918
1998,10,5.0,8.18852217628802
1999,8,5.0,6.953404703150519
2000,8,5.0,4.361029397696826
2001,9,5.0,4.30405624928425
2002,4,5.0,3.4156517248686558
2003,7,5.0,5.2281649869648374
2004,9,7.0,5.686904217354787
2005,15,7.0,9.08199649763637
2006,5,7.0,5.606605036610517
2007,6,7.0,5.314507624510528
2008,8,7.0,6.589319652188633
2009,3,7.0,3.33097181955792
2010,12,8.0,9.821432785904609
2011,7,7.0,7.45891971694449
2012,10,8.0,4.756444267900475
2013,2,8.0,4.637789557115687
2014,6,8.0,3.8432694564347223
2015,4,8.0,2.687816342755707
2016,7,7.0,4.830437151030436
2020,14,7.0,5.5674856488468025
2021,7,7.0,4.583217374176126
2022,9,7.0,5.015474869138107
2023,7,7.0,8.195412648471496
2024,11,7.0,8.915985820644062
