year,count,median_21yr,lambda
1993,4,5.0,4.983315733032607
1994,3,5.0,4.643591835956891
1995,11,5.0,10.604233046181877
1996,9,5.0,5.690001317793276
1997,3,5.0,4.677886783957774
1998,10,5.0,8.236406277619984
1999,8,5.0,8.32653004244205
2000,8,5.0,5.286680916509431
2001,9,5.0,5.121726646468004
2002,4,5.0,3.823941735827525
2003,7,5.0,5.870630246439397
2004,9,7.0,4.606743366129923
2005,15,7.0,8.093558115875606
2006,5,7.0,6.930564193868232
2007,6,7.0,6.685886484829072
2008,8,7.0,6.315252074001141
2009,3,7.0,3.546121070024725
2010,12,8.0,10.958168772217114
2011,7,7.0,7.342810860767348
2012,10,8.0,5.153139235570051
2013,2,8.0,5.232777244444543
2014,6,8.0,4.430258419195063
2015,4,8.0,3.3572944856452036
2016,7,7.0,5.916109337193147
2020,14,7.0,6.538549968843557
2021,7,7.0,5.962941767759478
2022,9,7.0,7.288246930519796
2023,7,7.0,6.918770059488397
2024,11,7.0,10.890813625253996
