year,count,median_21yr,lambda
1993,4,5.0,5.327647546494496
1994,3,5.0,5.3086361185515765
1995,11,5.0,7.4060265497532365
1996,9,5.0,5.386054704006876
1997,3,5.0,4.582584558648587
1998,10,5.0,7.2185829107302295
1999,8,5.0,7.474037462481399
2000,8,5.0,5.00032357085745
2001,9,5.0,4.439315795627847
2002,4,5.0,5.138084311862156
2003,7,5.0,6.078773001316104
2004,9,7.0,5.2911565690374855
2005,15,7.0,7.449604014027903
2006,5,7.0,5.976949611193704
2007,6,7.0,6.647281453651057
2008,8,7.0,6.238931346232432
2009,3,7.0,3.120990283238084
2010,12,8.0,9.192167996978649
2011,7,7.0,5.634761625750234
2012,10,8.0,4.8802131823007535
2013,2,8.0,6.068171673524295
2014,6,8.0,4.542499988322408
2015,4,8.0,3.8464876803105805
2016,7,7.0,6.502478954767872
2020,14,7.0,7.07439972076321
2021,7,7.0,6.448633943365652
2022,9,7.0,6.909536138500071
2023,7,7.0,5.951215288157623
2024,11,7.0,10.126255878258858
