year,count,median_21yr,lambda
1981,7,6.0,7.970509217703627
1982,2,6.0,5.677130738163381
1983,3,6.0,7.532098787383435
1984,5,5.0,5.401465405183341
1985,7,5.0,3.9353322005186
1986,4,5.0,5.8990905645467215
1987,3,5.0,6.984028045075393
1988,5,5.0,5.027985562743268
1989,7,5.0,5.566753627887921
1990,8,5.0,4.963576786988611
1991,4,5.0,4.445491342954514
1992,4,5.0,6.105931905503315
1993,4,5.0,3.589620616144097
1994,3,5.0,4.414435266116747
1995,11,5.0,5.657106237024867
1996,9,5.0,5.737142143772313
1997,3,5.0,5.195303453223988
1998,10,5.0,8.487052771667786
1999,8,5.0,6.740704460897688
2000,8,5.0,8.951739217230537
2001,9,5.0,5.742587552865225
2002,4,5.0,4.684149092096313
2003,7,5.0,6.462806589425654
2004,9,7.0,5.453450152848675
2005,15,7.0,6.633254041856695
2006,5,7.0,5.994877562432292
2007,6,7.0,6.297724738375417
2008,8,7.0,9.390256579379434
2009,3,7.0,5.456195542756723
2010,12,8.0,10.229932617263316
2011,7,7.0,8.349577149565645
2012,10,8.0,4.73223633176459
2013,2,8.0,6.654403721656198
2014,6,8.0,4.487740176831314
2015,4,8.0,4.096011403844276
2016,7,7.0,4.654246550268999
2017,10,7.0,4.789155959443265
2018,8,8.0,4.632502829817619
2019,6,7.0,5.582302459068989
2020,14,7.0,8.642972928250478
2021,7,7.0,10.914827570349571
2022,9,7.0,7.752482640145844
2023,7,7.0,7.4583980873065165
2024,11,7.0,12.05316781559626
