year,count,median_21yr,lambda
1981,7,6.0,10.089436169110487
1982,2,6.0,3.6606082916065175
1983,3,6.0,4.900307824624998
1984,5,5.0,4.457767279016662
1985,7,5.0,8.375221599710416
1986,4,5.0,4.793213825327922
1987,3,5.0,6.446507840092819
1988,5,5.0,9.895489936688083
1989,7,5.0,10.133327895561937
1990,8,5.0,7.731677623711163
1991,4,5.0,3.9237886453948727
1992,4,5.0,5.797781661954442
1993,4,5.0,4.236008436136569
1994,3,5.0,4.4567253777419085
1995,11,5.0,9.127971734937333
1996,9,5.0,5.429798465398515
1997,3,5.0,3.9515059565146187
1998,10,5.0,6.372916346060784
1999,8,5.0,9.118352342228455
2000,8,5.0,6.698112532532725
2001,9,5.0,6.316470092535946
2002,4,5.0,3.6581132899026305
2003,7,5.0,6.8605708284075275
2004,9,7.0,8.134217519640908
2005,15,7.0,9.182283767547128
2006,5,7.0,7.538547013237294
2007,6,7.0,8.07616634237995
2008,8,7.0,9.934585416981497
2009,3,7.0,5.648414107922207
2010,12,8.0,17.941919780123964
2011,7,7.0,11.594598430949882
2012,10,8.0,6.9831538885127475
2013,2,8.0,6.771804523618038
2014,6,8.0,5.405150058127906
2015,4,8.0,4.016762773578596
2016,7,7.0,6.127591493846968
2017,10,7.0,7.5999898489057225
2018,8,8.0,4.188469438299637
2019,6,7.0,7.018026945930783
2020,14,7.0,9.806990610529596
2021,7,7.0,7.643537304337342
2022,9,7.0,8.219955947374254
2023,7,7.0,13.696253728574984
2024,11,7.0,14.166066565313523
