year,count,median_21yr,lambda
1981,7,6.0,5.228982377103406
1982,2,6.0,5.576762487334679
1983,3,6.0,6.309877750847416
1984,5,5.0,4.609288265424922
1985,7,5.0,5.436344579620646
1986,4,5.0,4.472092704647732
1987,3,5.0,4.605013725317792
1988,5,5.0,4.4413448491245555
1989,7,5.0,5.8083815627800455
1990,8,5.0,3.8724033528399175
1991,4,5.0,4.626742458001498
1992,4,5.0,8.387932854607593
1993,4,5.0,6.493616323540132
1994,3,5.0,3.016276771591671
1995,11,5.0,5.7615346274246635
1996,9,5.0,6.024471653231137
1997,3,5.0,3.329416956487803
1998,10,5.0,10.33200919448318
1999,8,5.0,4.106996722501106
2000,8,5.0,3.9683864181122743
2001,9,5.0,4.973404695411629
2002,4,5.0,4.893360880408422
2003,7,5.0,3.9538372140341433
2004,9,7.0,5.048296925890878
2005,15,7.0,6.642337051746865
2006,5,7.0,4.411220945818927
2007,6,7.0,6.042252947927096
2008,8,7.0,6.641992457017865
2009,3,7.0,4.687560808480141
2010,12,8.0,11.565720376282913
2011,7,7.0,6.126611758431768
2012,10,8.0,4.6988648269787765
2013,2,8.0,4.457558915553037
2014,6,8.0,3.534394373190926
2015,4,8.0,2.7505879172516536
2016,7,7.0,4.741373412743855
2017,10,7.0,3.33350757438969
2018,8,8.0,6.350000392238744
2019,6,7.0,5.085661760338007
2020,14,7.0,5.007624289339325
2021,7,7.0,9.560542188154932
2022,9,7.0,9.043202005497772
2023,7,7.0,4.5831139191329004
2024,11,7.0,11.452679199458505
