year,count,median_21yr,lambda
1982,2,6.0,4.95429404537605
1983,3,6.0,6.715452158700511
1984,5,5.0,4.7447562912825925
1985,7,5.0,3.838378993559692
1986,4,5.0,3.976682774605809
1987,3,5.0,5.017679496169239
1988,5,5.0,3.741331023567769
1989,7,5.0,3.606572108223661
1990,8,5.0,3.966584433757673
1991,4,5.0,4.109324717791559
1992,4,5.0,8.814830952645147
1993,4,5.0,4.0456179506813355
1994,3,5.0,4.019709639412836
1995,11,5.0,6.163183962983408
1996,9,5.0,3.193805394595307
1997,3,5.0,5.656277073427658
1998,10,5.0,8.458449076484193
1999,8,5.0,5.209466400817521
2000,8,5.0,3.1572768986753266
2001,9,5.0,3.8618708159130035
2002,4,5.0,5.079043261718616
2003,7,5.0,6.367428274213913
2004,9,7.0,7.486718733561232
2005,15,7.0,5.874143917556251
2006,5,7.0,5.328766641256283
2007,6,7.0,6.625844760457226
2008,8,7.0,5.944957950500873
2009,3,7.0,3.7366149752111464
2010,12,8.0,8.094579507919452
2011,7,7.0,5.577197196075069
2012,10,8.0,5.015107767812974
2013,2,8.0,5.463541042860645
2014,6,8.0,4.500758925712839
2015,4,8.0,5.273013658315865
2016,7,7.0,5.06391086942385
2017,10,7.0,2.005552565788973
2018,8,8.0,5.922654142037571
2019,6,7.0,6.013805386697093
2020,14,7.0,5.413599425580383
2021,7,7.0,6.919411580212198
2022,9,7.0,8.175015236440954
2023,7,7.0,5.16412748675947
2024,11,7.0,8.238420130062833
