year,count,median_21yr,lambda
1981,7,6.0,8.122923567928714
1982,2,6.0,3.918101991353458
1983,3,6.0,4.720788017513383
1984,5,5.0,5.6908272336333585
1985,7,5.0,6.826209499557716
1986,4,5.0,4.57999565259009
1987,3,5.0,7.200647623211195
1988,5,5.0,7.820176803875206
1989,7,5.0,7.887791324214004
1990,8,5.0,5.884983762215457
1991,4,5.0,3.305677413145826
1992,4,5.0,4.828577497928888
1993,4,5.0,4.34026490433412
1994,3,5.0,4.314141053950201
1995,11,5.0,8.352520795754565
1996,9,5.0,5.749525267490562
1997,3,5.0,3.455210150604185
1998,10,5.0,7.637277322120909
1999,8,5.0,7.158530103966086
2000,8,5.0,7.1298770198003405
2001,9,5.0,5.261166996442536
2002,4,5.0,3.5210137027440886
2003,7,5.0,6.375120966484891
2004,9,7.0,7.857401013704643
2005,15,7.0,9.062067179360994
2006,5,7.0,5.729080831874124
2007,6,7.0,5.8881452515977415
2008,8,7.0,8.846996593428063
2009,3,7.0,4.384575099839358
2010,12,8.0,14.618046481027527
2011,7,7.0,10.843900794843147
2012,10,8.0,6.002758515820464
2013,2,8.0,5.938105522461761
2014,6,8.0,4.639264812967105
2015,4,8.0,2.8979344361272563
2016,7,7.0,4.535247875498195
2017,10,7.0,6.607601667023563
2018,8,8.0,3.9680828181311094
2019,6,7.0,6.504944442614357
2020,14,7.0,7.868947649278788
2021,7,7.0,8.504441028339285
2022,9,7.0,7.850898234556372
2023,7,7.0,11.184981945771185
2024,11,7.0,11.113213506247098
