year,count,median_21yr,lambda
1981,7,6.0,6.429476615215336
1982,2,6.0,4.257738968899936
1983,3,6.0,6.331288590129943
1984,5,5.0,6.86427443112321
1985,7,5.0,5.396496183698811
1986,4,5.0,4.586815369321787
1987,3,5.0,6.808687022175722
1988,5,5.0,8.467317696052248
1989,7,5.0,5.277546404195841
1990,8,5.0,6.032664897196098
1991,4,5.0,3.8283510436693677
1992,4,5.0,4.551179193132131
1993,4,5.0,4.323257352576943
1994,3,5.0,3.425979619711457
1995,11,5.0,9.65248301605153
1996,9,5.0,5.012727732956286
1997,3,5.0,5.541171005388853
1998,10,5.0,8.646034523288021
1999,8,5.0,9.130828758729866
2000,8,5.0,5.958793524553872
2001,9,5.0,4.8868548153350515
2002,4,5.0,4.005603780212184
2003,7,5.0,6.843500691996102
2004,9,7.0,4.341555643331203
2005,15,7.0,8.732027864849595
2006,5,7.0,6.69093014210428
2007,6,7.0,6.780973023655991
2008,8,7.0,9.770082303628074
2009,3,7.0,3.856499426551588
2010,12,8.0,14.215976601240236
2011,7,7.0,8.389119829717709
2012,10,8.0,6.152077286329873
2013,2,8.0,5.43714114341555
2014,6,8.0,4.172055304369287
2015,4,8.0,2.918336355255636
2016,7,7.0,3.840868085363994
2017,10,7.0,6.901064179761608
2018,8,8.0,3.6811891172427793
2019,6,7.0,5.447427247927856
2020,14,7.0,8.375865374191173
2021,7,7.0,9.854314735492467
2022,9,7.0,10.66080068433909
2023,7,7.0,10.796009385817031
2024,11,7.0,13.42913561096592
