year,count,median_21yr,lambda
1981,7,6.0,4.405647217480459
1982,2,6.0,4.4692593756005605
1983,3,6.0,9.172229153528946
1984,5,5.0,4.780746423517862
1985,7,5.0,4.05260207058678
1986,4,5.0,4.987080697513265
1987,3,5.0,6.511943482111547
1988,5,5.0,4.7099058952888
1989,7,5.0,4.226504856236998
1990,8,5.0,5.260885438632846
1991,4,5.0,3.863409718745735
1992,4,5.0,9.280823072315986
1993,4,5.0,4.977438975576798
1994,3,5.0,5.643103750102332
1995,11,5.0,5.547116307063265
1996,9,5.0,5.450804287206849
1997,3,5.0,5.131902356064873
1998,10,5.0,10.374133047050172
1999,8,5.0,4.637817061991678
2000,8,5.0,4.014016122149206
2001,9,5.0,5.402339455678448
2002,4,5.0,5.4740995778659425
2003,7,5.0,4.669747685890229
2004,9,7.0,8.427342214965657
2005,15,7.0,6.611029227386794
2006,5,7.0,4.9497595489464725
2007,6,7.0,8.508239564717579
2008,8,7.0,6.139569891950563
2009,3,7.0,4.053245193507553
2010,12,8.0,11.318210578916366
2011,7,7.0,7.17961388727607
2012,10,8.0,4.326794666132532
2013,2,8.0,5.38465139180295
2014,6,8.0,3.673936385542251
2015,4,8.0,3.51599307872185
2016,7,7.0,5.739029330949866
2017,10,7.0,4.141208656498836
2018,8,8.0,5.4363263855047
2019,6,7.0,5.099695628894982
2020,14,7.0,7.372956705566111
2021,7,7.0,9.893516954348641
2022,9,7.0,9.059288254484857
2023,7,7.0,5.570424271832177
2024,11,7.0,10.755674784248875
