year,count,median_21yr,lambda
1981,7,6.0,5.246356436912737
1982,2,6.0,5.231010128514157
1983,3,6.0,6.022564242661529
1984,5,5.0,5.494111318864435
1985,7,5.0,4.691351432889852
1986,4,5.0,5.143062934855152
1987,3,5.0,6.518817093679806
1988,5,5.0,6.387068378777018
1989,7,5.0,3.8954580392072202
1990,8,5.0,4.818276739187747
1991,4,5.0,4.288837453606404
1992,4,5.0,4.299202389014376
1993,4,5.0,4.776349900914065
1994,3,5.0,4.174379602697861
1995,11,5.0,7.089589434877773
1996,9,5.0,5.658415584153583
1997,3,5.0,4.4017142144478285
1998,10,5.0,7.017536220928906
1999,8,5.0,6.567275910978237
2000,8,5.0,5.426650941110176
2001,9,5.0,3.569655875011347
2002,4,5.0,4.135827455526094
2003,7,5.0,7.174253746494324
2004,9,7.0,6.974493046458593
2005,15,7.0,8.039194961207864
2006,5,7.0,5.760627484546637
2007,6,7.0,7.068106058659019
2008,8,7.0,6.982475098481341
2009,3,7.0,3.9401808109566647
2010,12,8.0,12.832138837379519
2011,7,7.0,6.834713041974435
2012,10,8.0,4.814288206499111
2013,2,8.0,6.005392933484819
2014,6,8.0,3.127781841030098
2015,4,8.0,2.7225515457042344
2016,7,7.0,3.9011881019784993
2017,10,7.0,5.95308726345341
2018,8,8.0,4.304077746851958
2019,6,7.0,5.426884784989005
2020,14,7.0,8.995555036263058
2021,7,7.0,13.06975192912446
2022,9,7.0,10.271511885545653
2023,7,7.0,7.665694592603601
2024,11,7.0,11.072392231844674
