year,count,median_21yr,lambda
1982,2,6.0,5.292825281738352
1983,3,6.0,6.145919968953856
1984,5,5.0,6.28523707703702
1985,7,5.0,5.577410208635577
1986,4,5.0,4.308535884928857
1987,3,5.0,5.575369661999478
1988,5,5.0,6.460097753945925
1989,7,5.0,4.675534251708523
1990,8,5.0,5.5587999743226675
1991,4,5.0,4.857966991106422
1992,4,5.0,5.358003697338597
1993,4,5.0,4.7387017894486565
1994,3,5.0,5.493713738972328
1995,11,5.0,6.708623570230422
1996,9,5.0,4.969663755665074
1997,3,5.0,4.667097193680243
1998,10,5.0,6.935922180577588
1999,8,5.0,6.18325912938313
2000,8,5.0,5.0546698597214625
2001,9,5.0,4.24868592586085
2002,4,5.0,4.322842523780195
2003,7,5.0,5.4501106712504965
2004,9,7.0,4.454203587812673
2005,15,7.0,5.469036385228206
2006,5,7.0,4.85202033579287
2007,6,7.0,5.973793673607628
2008,8,7.0,5.320476766352563
2009,3,7.0,3.6317664929135733
2010,12,8.0,6.621514276779066
2011,7,7.0,3.3225709681991935
2012,10,8.0,3.605017443039131
2013,2,8.0,4.231923019592419
2014,6,8.0,2.985003780024394
2015,4,8.0,2.704628374572752
2016,7,7.0,3.205026462877475
2017,10,7.0,3.4237376654609792
2018,8,8.0,3.7560242698600397
2019,6,7.0,3.003190555719707
2020,14,7.0,4.947145130782437
2021,7,7.0,3.982817857437676
2022,9,7.0,5.238385265956581
2023,7,7.0,3.6677949388024578
2024,11,7.0,7.813561521105203
