year,count,median_21yr,lambda
1982,2,6.0,4.495834338359437
1983,3,6.0,4.983588417650798
1984,5,5.0,3.9216356309895275
1985,7,5.0,6.558278530677648
1986,4,5.0,4.3597063482591905
1987,3,5.0,5.609441165990188
1988,5,5.0,7.356019603905834
1989,7,5.0,7.4869018978150566
1990,8,5.0,5.88381261709216
1991,4,5.0,4.231216810934901
1992,4,5.0,5.2601228838622704
1993,4,5.0,4.234493673865903
1994,3,5.0,4.193011495584608
1995,11,5.0,8.188000664399027
1996,9,5.0,5.227495075518575
1997,3,5.0,4.236984902415738
1998,10,5.0,7.776819822546856
1999,8,5.0,7.789261489859142
2000,8,5.0,5.1962768182026196
2001,9,5.0,4.941366271052901
2002,4,5.0,3.3454761463133433
2003,7,5.0,5.223801017098654
2004,9,7.0,5.914640843408942
2005,15,7.0,8.110868117054526
2006,5,7.0,5.757676669061424
2007,6,7.0,6.370173387741663
2008,8,7.0,7.188098018416401
2009,3,7.0,4.552205388971764
2010,12,8.0,9.278193009945062
2011,7,7.0,5.84114131558035
2012,10,8.0,3.709156318549764
2013,2,8.0,3.323291065033198
2014,6,8.0,2.559351396274438
2015,4,8.0,2.1898654824611885
2016,7,7.0,3.5002883369455047
2017,10,7.0,4.068123364780475
2018,8,8.0,2.137633968386842
2019,6,7.0,4.285531527936699
2020,14,7.0,3.8827832770699193
2021,7,7.0,2.839069359593234
2022,9,7.0,3.3028067387404514
2023,7,7.0,5.379737916651291
2024,11,7.0,5.1357326128020855
