year,count,median_21yr,lambda
1982,2,6.0,4.0892236403711175
1983,3,6.0,6.723399623272322
1984,5,5.0,5.179506850016002
1985,7,5.0,3.8644712961440977
1986,4,5.0,3.953109933192024
1987,3,5.0,5.436375603770339
1988,5,5.0,5.429368700690694
1989,7,5.0,4.678747930526991
1990,8,5.0,4.7811270834294595
1991,4,5.0,4.875748795897608
1992,4,5.0,5.75797679015676
1993,4,5.0,5.2552362758106
1994,3,5.0,4.4111991374685005
1995,11,5.0,5.294571646480724
1996,9,5.0,5.005914875624068
1997,3,5.0,4.675908389321312
1998,10,5.0,8.097238695812516
1999,8,5.0,5.114927827779542
2000,8,5.0,4.610427927908164
2001,9,5.0,4.223279241739621
2002,4,5.0,4.327123686516518
2003,7,5.0,4.497658213939928
2004,9,7.0,4.270748624232145
2005,15,7.0,3.6875427204417974
2006,5,7.0,4.706636725550807
2007,6,7.0,5.373235149303226
2008,8,7.0,5.171107822503464
2009,3,7.0,3.6059725852572426
2010,12,8.0,5.030109238408453
2012,10,8.0,3.2226060633115297
2013,2,8.0,3.3795207073853293
2014,6,8.0,3.372426817374417
2015,4,8.0,3.226391890497262
2016,7,7.0,3.6119915923811847
2017,10,7.0,3.8933553432952523
2018,8,8.0,4.233336737937017
2019,6,7.0,3.088001189409682
2020,14,7.0,4.951596966489598
2021,7,7.0,4.949901743788435
2022,9,7.0,4.872508053951752
2023,7,7.0,3.8669457207237623
2024,11,7.0,7.008324617156597
