year,count,median_21yr,lambda
1982,2,6.0,4.075449712284726
1983,3,6.0,6.703042198008494
1984,5,5.0,4.744315545209449
1985,7,5.0,4.014463918332639
1986,4,5.0,4.240624304708384
1987,3,5.0,4.537423197490103
1988,5,5.0,5.192264869787132
1989,7,5.0,4.649875873208152
1990,8,5.0,4.188535607981627
1991,4,5.0,4.977647082081575
1992,4,5.0,5.5346066497159105
1993,4,5.0,4.578913911063861
1994,3,5.0,3.895247389640317
1995,11,5.0,5.20703782761387
1996,9,5.0,4.735094810026722
1997,3,5.0,4.204181650510756
1998,10,5.0,6.992225785792667
1999,8,5.0,4.747373955857905
2000,8,5.0,4.1177120384273564
2001,9,5.0,4.097279311905174
2002,4,5.0,4.7986141554390525
2003,7,5.0,4.418852448747088
2004,9,7.0,4.314949899555245
2005,15,7.0,3.559908393673296
2006,5,7.0,4.095334916163736
2007,6,7.0,5.303918959904784
2008,8,7.0,4.791906821046225
2009,3,7.0,3.564033190464315
2010,12,8.0,4.9916465150724285
2012,10,8.0,3.5702358677419217
2013,2,8.0,2.984361537673736
2014,6,8.0,3.703377794541064
2015,4,8.0,1.556816634215517
2016,7,7.0,4.412360784114064
2017,10,7.0,3.5576849422710786
2018,8,8.0,4.069469738089941
2019,6,7.0,3.1010011980103553
2020,14,7.0,4.228389283396949
2021,7,7.0,4.330400113137427
2022,9,7.0,4.557675449922003
2023,7,7.0,3.36939569269677
2024,11,7.0,6.019539935585987
