year,count,median_21yr,lambda
1982,2,6.0,5.678573939819779
1983,3,6.0,6.884395258629182
1984,5,5.0,6.019591556007574
1985,7,5.0,8.000359601726494
1986,4,5.0,5.497195244337162
1987,3,5.0,7.556197002659599
1988,5,5.0,7.5805452038571595
1989,7,5.0,7.746246271957406
1990,8,5.0,6.676807292675701
1991,4,5.0,4.935970179717374
1992,4,5.0,5.736862775376634
1993,4,5.0,5.859902379975077
1994,3,5.0,5.271817249512296
1995,11,5.0,9.049436441639752
1996,9,5.0,6.349951235219759
1997,3,5.0,5.062621797794214
1998,10,5.0,9.05710147592552
1999,8,5.0,8.153169011304431
2000,8,5.0,5.7805538007538395
2001,9,5.0,4.900416246331406
2002,4,5.0,3.926352454559541
2003,7,5.0,5.9946482705564454
2004,9,7.0,5.957819384120922
2005,15,7.0,8.825401291350392
2006,5,7.0,6.21398728568259
2007,6,7.0,6.350297797089272
2008,8,7.0,7.330118400999399
2009,3,7.0,4.244771318788993
2010,12,8.0,8.85716229210386
2011,7,7.0,5.4071079540708125
2012,10,8.0,3.408593259962582
2013,2,8.0,3.6223712592704653
2014,6,8.0,2.826046514158995
2015,4,8.0,2.2463706676646638
2016,7,7.0,3.799077369476592
2017,10,7.0,4.1934365167837635
2018,8,8.0,2.8842870330076416
2019,6,7.0,4.351469130741152
2020,14,7.0,4.245592121286361
2021,7,7.0,3.9557110086949807
2022,9,7.0,3.804981877287024
2023,7,7.0,5.6466212233007465
2024,11,7.0,6.513169422630702
