year,count,median_21yr,lambda
1982,2,6.0,5.672877602607564
1983,3,6.0,6.874712349832786
1984,5,5.0,7.437046056119644
1985,7,5.0,7.222321307365003
1986,4,5.0,5.841498554506928
1987,3,5.0,6.399505185476714
1988,5,5.0,7.869594536278959
1989,7,5.0,7.196961516654851
1990,8,5.0,6.9393245122713925
1991,4,5.0,5.188900632640974
1992,4,5.0,6.023165830712331
1993,4,5.0,5.789031147094309
1994,3,5.0,5.599315501062572
1995,11,5.0,10.238373211080818
1996,9,5.0,6.457824922847369
1997,3,5.0,5.181515099016496
1998,10,5.0,9.285723270005466
1999,8,5.0,9.252294566738488
2000,8,5.0,6.020609542368157
2001,9,5.0,5.700727398768439
2002,4,5.0,4.37615387131569
2003,7,5.0,6.410662606325812
2004,9,7.0,4.939031958668709
2005,15,7.0,7.760243578912595
2006,5,7.0,7.4381014979533
2007,6,7.0,7.5798523725780225
2008,8,7.0,7.084384424437362
2009,3,7.0,4.331990209487688
2010,12,8.0,9.31427308023873
2011,7,7.0,5.366122172381737
2012,10,8.0,3.9446659667690964
2013,2,8.0,3.835251628616143
2014,6,8.0,3.0548885263173915
2015,4,8.0,2.5218719031961974
2016,7,7.0,4.6861016565767315
2017,10,7.0,4.787281323940042
2018,8,8.0,3.327315566461391
2019,6,7.0,3.8175734970070514
2020,14,7.0,4.913190479536582
2021,7,7.0,4.856035781687792
2022,9,7.0,5.497270345896036
2023,7,7.0,5.094258884779317
2024,11,7.0,8.424401422534354
