year,count,median_21yr,lambda
1982,2,6.0,4.421654046745484
1983,3,6.0,6.537748861974967
1984,5,5.0,5.297147441233518
1985,7,5.0,4.888694990170401
1986,4,5.0,4.204143844522507
1987,3,5.0,5.683110222351371
1988,5,5.0,5.365561483831849
1989,7,5.0,4.665518545819077
1990,8,5.0,4.516604560947791
1991,4,5.0,4.792311818240683
1992,4,5.0,5.378240670526108
1993,4,5.0,5.229285899232558
1994,3,5.0,5.448543623845789
1995,11,5.0,6.3938451069995725
1996,9,5.0,4.525484346729467
1997,3,5.0,4.944773531655965
1998,10,5.0,6.959051543296903
1999,8,5.0,5.002949094068484
2000,8,5.0,5.05296690020555
2001,9,5.0,4.616285055861673
2002,4,5.0,4.371258145426688
2003,7,5.0,4.677882548812354
2004,9,7.0,4.394176587762927
2005,15,7.0,4.524877315891118
2006,5,7.0,4.378508450086998
2007,6,7.0,5.8917826205681605
2008,8,7.0,5.212966122780504
2009,3,7.0,3.623691271542259
2010,12,8.0,5.4000140223210025
2012,10,8.0,3.113068345324084
2013,2,8.0,3.9739194664949227
2014,6,8.0,3.315705462362355
2015,4,8.0,2.990771412818984
2016,7,7.0,2.877279691524551
2017,10,7.0,3.472236212801828
2018,8,8.0,4.061103407411947
2019,6,7.0,2.909777830506754
2020,14,7.0,5.1113501286307
2021,7,7.0,4.649526994243318
2022,9,7.0,5.196854126261944
2023,7,7.0,4.031690802248413
2024,11,7.0,7.296208561193646
