year,count,median_21yr,lambda
1982,2,6.0,6.054342919520981
1983,3,6.0,6.451316525189862
1984,5,5.0,8.310106936644845
1985,7,5.0,6.307325791063452
1986,4,5.0,5.087868477913235
1987,3,5.0,7.053913020532125
1988,5,5.0,7.444879094570221
1989,7,5.0,5.775861769797672
1990,8,5.0,6.28105935630963
1991,4,5.0,4.824215369471533
1992,4,5.0,5.799711392099038
1993,4,5.0,5.194089602979188
1994,3,5.0,5.585787976991766
1995,11,5.0,7.914330952693644
1996,9,5.0,6.156844489022916
1997,3,5.0,4.655144590592027
1998,10,5.0,8.1459454817968
1999,8,5.0,8.781569438664288
2000,8,5.0,5.523351707364118
2001,9,5.0,4.77655131024682
2002,4,5.0,4.874798597598205
2003,7,5.0,5.910912769909046
2004,9,7.0,5.189958230162485
2005,15,7.0,7.655959863298904
2006,5,7.0,6.402319948706479
2007,6,7.0,7.202431554386386
2008,8,7.0,6.875193576958049
2009,3,7.0,3.7101750124185515
2010,12,8.0,7.799502572479938
2011,7,7.0,4.310404681006348
2012,10,8.0,3.5927273336004433
2013,2,8.0,4.285936271348441
2014,6,8.0,3.1453614328664004
2015,4,8.0,2.8820168208087282
2016,7,7.0,4.904432739298387
2017,10,7.0,3.5832109430553327
2018,8,8.0,4.03888062337665
2019,6,7.0,3.2920348718015267
2020,14,7.0,5.034061982813075
2021,7,7.0,5.0034898473051825
2022,9,7.0,5.177959435882606
2023,7,7.0,4.306503537013081
2024,11,7.0,7.586205442217705
