year,count,median_21yr,lambda
1993,4,5.0,3.4440199662564264
1994,3,5.0,3.7501545711473545
1995,11,5.0,4.960133308986722
1996,9,5.0,4.860979989145239
1997,3,5.0,3.574826764642797
1998,10,5.0,5.245268041872341
1999,8,5.0,5.487862685363631
2000,8,5.0,4.874696921340822
2001,9,5.0,4.829900989685612
2002,4,5.0,4.675934407886224
2003,7,5.0,4.582464056681887
2004,9,7.0,5.130414746021738
2005,15,7.0,5.68429444263491
2006,5,7.0,4.627427878880603
2007,6,7.0,5.524776352140848
2008,8,7.0,5.169132948458517
2009,3,7.0,3.201737834764014
2010,12,8.0,6.85283499745453
2011,7,7.0,4.281752620667064
2012,10,8.0,3.908920825504728
2013,2,8.0,4.629358259262694
2014,6,8.0,2.3521943376092755
2015,4,8.0,3.1223090074460895
2016,7,7.0,3.727377848427172
