year,count,median_21yr,lambda
1993,4,5.0,5.2184802915499136
1994,3,5.0,4.778915526167224
1995,11,5.0,11.37748929237238
1996,9,5.0,6.090497668589963
1997,3,5.0,5.260431263752892
1998,10,5.0,6.9603747553571385
1999,8,5.0,8.605624887490732
2000,8,5.0,5.768945561508935
2001,9,5.0,5.448690170711385
2002,4,5.0,3.7967413832980617
2003,7,5.0,6.377128812762275
2004,9,7.0,7.762463725226154
2005,15,7.0,11.188116214155928
2006,5,7.0,6.483847056128691
2007,6,7.0,6.759976125494526
2008,8,7.0,8.649877384755744
2009,3,7.0,4.920972405542381
2010,12,8.0,11.812680027437832
2011,7,7.0,9.94339547244886
2012,10,8.0,6.12331712279251
2013,2,8.0,5.6910538778418625
2014,6,8.0,4.707232322459029
2015,4,8.0,3.141463523870169
2016,7,7.0,5.48484687577488
