year,count,median_21yr,lambda
1993,4,5.0,4.821778643307557
1994,3,5.0,3.9787472177062777
1995,11,5.0,9.565649042967594
1996,9,5.0,5.359379456791713
1997,3,5.0,5.630118346630055
1998,10,5.0,6.737725478938314
1999,8,5.0,8.368808028942155
2000,8,5.0,4.798906902091092
2001,9,5.0,5.8533706199983
2002,4,5.0,4.381176525439234
2003,7,5.0,6.6671839261651
2004,9,7.0,5.799775876960209
2005,15,7.0,8.951130034515451
2006,5,7.0,7.477448863408394
2007,6,7.0,7.106809405213418
2008,8,7.0,7.76658862966091
2009,3,7.0,3.354364655174561
2010,12,8.0,11.217692256187272
2011,7,7.0,8.386956435373289
2012,10,8.0,5.9425141042371825
2013,2,8.0,4.979452353294263
2014,6,8.0,3.83289971593772
2015,4,8.0,2.640082241526227
2016,7,7.0,5.738562773556227
