year,count,median_21yr,lambda
1993,4,5.0,3.937297034278678
1994,3,5.0,4.915365421424008
1995,11,5.0,6.017119294193622
1996,9,5.0,5.820816959646289
1997,3,5.0,4.027706441340092
1998,10,5.0,5.640421984453953
1999,8,5.0,6.510161923939819
2000,8,5.0,4.9477386486671175
2001,9,5.0,4.732418733182826
2002,4,5.0,4.170794295358124
2003,7,5.0,4.908017022291428
2004,9,7.0,4.9812213394986635
2005,15,7.0,6.565372422427741
2006,5,7.0,6.123995182659395
2007,6,7.0,6.865250472633506
2008,8,7.0,5.928012130670796
2009,3,7.0,3.1708935582234803
2010,12,8.0,9.484321391037453
2011,7,7.0,5.337827612720504
2012,10,8.0,4.522717440139331
2013,2,8.0,4.835864267780515
2014,6,8.0,3.565685179775757
2015,4,8.0,2.6896450701404895
2016,7,7.0,4.348029694360431
