year,alpha,beta,gamma,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,count,lambda,p_05,p_25,p_50,p_75,p_95
1981,1.4996346635567495,1.8312663318084559,-2.036875367383028,27.744543,25.652681,0.023185041666668127,-0.1428267500000011,5.800100554881662,6.252697299945262,2.0,4.0,6.0,8.0,11.0
1982,1.4627949599129932,1.9664505793318499,-2.224075133235074,27.319565,25.686502,-0.4017929583333313,-0.10900575000000146,1.844856426338977,2.497089721029122,0.0,1.0,2.0,3.0,5.0
1983,1.3728468694358122,2.103896637815714,-2.600505254572451,27.535995,25.755644,-0.18536295833333227,-0.039863750000002085,1.0799891559256054,2.9639660580398353,0.0,2.0,3.0,4.0,6.0
1984,1.4431233834364967,1.5435013582567512,-2.1287069736406554,27.126345,25.607714,-0.5950129583333315,-0.18779375000000087,4.964491636700243,2.520552035652732,0.0,1.0,2.0,3.0,5.0
1985,1.4498971983161235,1.508000069948816,-2.1217612594693787,27.39813,25.555567,-0.32322795833333373,-0.23994075000000237,5.596021619502307,4.356053132143383,1.0,3.0,4.0,6.0,8.0
1986,1.4361737082081774,1.5399244489451072,-2.186131719852434,27.355062,25.706842,-0.36629595833333184,-0.08866575000000054,2.505254717927204,2.9035688402763036,0.0,2.0,3.0,4.0,6.0
1987,1.3467051754425765,1.4891226347057793,-2.5219514853234744,28.073606,26.062393,0.35224804166666956,0.26688524999999785,2.2265754994469953,3.314060102143464,1.0,2.0,3.0,4.0,7.0
1988,1.3920861352494596,1.4253440069559427,-2.3625851744025055,27.516336,25.689127,-0.20502195833333303,-0.10638075000000313,6.542959312656076,3.86202979324426,1.0,2.0,4.0,5.0,7.0
1989,1.4387668875596,1.4445914279572196,-2.252964092374822,27.68081,25.701874,-0.040547958333331025,-0.09363375000000218,8.307070221845656,4.909367580234762,2.0,3.0,5.0,6.0,9.0
1990,1.4470390167155731,1.454584667474354,-2.2308494799792697,27.8796,25.804667,0.1582420416666679,0.009159249999996177,5.681911983762105,5.242416500118788,2.0,4.0,5.0,7.0,9.0
1991,1.435243731951003,1.4856458173509697,-2.290511540284801,27.431044,25.740747,-0.29031395833333207,-0.054760750000003355,2.5698511316467183,3.0937072958071927,1.0,2.0,3.0,4.0,6.0
