year,alpha,beta,gamma,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,count,lambda,p_05,p_25,p_50,p_75,p_95
1981,0.5542776558243661,2.035210920258528,-2.1964184180765858,27.744543,25.652681,0.023185041666668127,-0.1428267500000011,2.1553655631503417,2.497203261094582,0.0,1.0,2.0,3.0,5.0
1982,0.5223856004627544,2.151510774631518,-2.3587099614917517,27.319565,25.686502,-0.4017929583333313,-0.10900575000000146,0.7150781489837985,0.9185459667013591,0.0,0.0,1.0,1.0,3.0
1983,0.4253306034998003,2.300417481092822,-2.766612448652122,27.535995,25.755644,-0.18536295833333227,-0.039863750000002085,0.35626165690150274,1.1153920537283821,0.0,0.0,1.0,2.0,3.0
1984,0.4902094502068081,1.7898894203750488,-2.3310609429001503,27.126345,25.607714,-0.5950129583333315,-0.18779375000000087,1.644571300018376,0.8719359819576856,0.0,0.0,1.0,1.0,3.0
1985,0.4981296221203863,1.7480739914334011,-2.3224403920401615,27.39813,25.555567,-0.32322795833333373,-0.23994075000000237,2.172936947559247,1.6328897931398605,0.0,1.0,1.0,2.0,4.0
1986,0.4799670800113956,1.7906769873962758,-2.408188192233209,27.355062,25.706842,-0.36629595833333184,-0.08866575000000054,0.8510725770606821,1.038287944084058,0.0,0.0,1.0,2.0,3.0
1987,0.3540518142603569,1.7210055908344162,-2.8853150960108898,28.073606,26.062393,0.35224804166666956,0.26688524999999785,0.6514278307745476,1.2095212529566008,0.0,0.0,1.0,2.0,3.0
1988,0.4324836235797685,1.6127479510624545,-2.605078006224687,27.516336,25.689127,-0.20502195833333303,-0.10638075000000313,3.136098782652641,1.460771955256716,0.0,1.0,1.0,2.0,4.0
1989,0.49953475789527546,1.6415500654538298,-2.442255024893435,27.68081,25.701874,-0.040547958333331025,-0.09363375000000218,3.7796746307708173,1.9379888317407479,0.0,1.0,2.0,3.0,4.0
1990,0.49055099020525383,1.6306187380302473,-2.4669976934670683,27.8796,25.804667,0.1582420416666679,0.009159249999996177,1.886505001584855,2.0667711940441174,0.0,1.0,2.0,3.0,5.0
1991,0.4775439860117315,1.6646756521887598,-2.5335917512805186,27.431044,25.740747,-0.29031395833333207,-0.054760750000003355,0.9354005181360617,1.1422577571790373,0.0,0.0,1.0,2.0,3.0
1992,0.5070791792129002,1.5814719532465187,-2.4086308734666235,27.443548,25.675955,-0.2778099583333322,-0.11955275000000398,2.3225657406513274,1.4271635834448164,0.0,1.0,1.0,2.0,4.0
1993,0.4930937719293632,1.6171786346336328,-2.481319369595526,27.435114,25.745783,-0.2862439583333334,-0.04972475000000287,0.9094330998380461,1.165988404904438,0.0,0.0,1.0,2.0,3.0
1994,0.47138142129081584,1.70091796763877,-2.610959083679209,27.35083,25.727509,-0.37052795833333363,-0.067998750000001,0.5854983790227194,1.018861383853623,0.0,0.0,1.0,2.0,3.0
1995,0.5984435460784016,1.9462781808940197,-2.2880808532026364,28.040411,25.87053,0.3190530416666668,0.0750222499999964,6.045684775369629,2.851235889815879,0.0,2.0,3.0,4.0,6.0
1996,0.6840632571180968,1.8805409861868863,-1.9735358677871313,27.60568,25.74581,-0.1156779583333325,-0.04969775000000354,4.529623522956056,1.7587554134420789,0.0,1.0,2.0,3.0,4.0
1997,0.6392548278584963,1.8800868163226427,-2.198630268248932,27.960527,26.11735,0.23916904166666697,0.321842249999996,0.9613679364340779,1.4641886660915717,0.0,1.0,1.0,2.0,4.0
1998,0.6869767422560817,1.9896373399069263,-2.0761568039425873,28.15127,25.964533,0.4299120416666682,0.16902524999999713,5.148558996661497,3.2917616269812227,1.0,2.0,3.0,4.0,7.0
1999,0.6922620740754991,2.0279253392322802,-2.1062844083317795,27.95182,25.679749,0.2304620416666694,-0.11575875000000124,4.903022793689013,4.069185018934372,1.0,3.0,4.0,5.0,8.0
2000,0.7071199033108848,2.019262642430193,-2.068495420861907,27.638397,25.721914,-0.08296095833333084,-0.07359375000000057,2.8695982271102807,1.9973639261239498,0.0,1.0,2.0,3.0,5.0
2001,0.6964796028105109,1.983724999963179,-2.077611728428905,28.054937,25.834852,0.33357904166666685,0.03934424999999919,2.729152136581686,3.58395382715777,1.0,2.0,3.0,5.0,7.0
2002,0.6952918907641206,1.9850949630182135,-2.083651803784194,27.71842,25.880438,-0.0029379583333337678,0.08493024999999932,1.6324477799805963,1.6694507762947388,0.0,1.0,1.0,2.0,4.0
2003,0.7196868568947883,2.039232503805101,-2.00550350463752,28.226748,26.021996,0.5053900416666686,0.22648824999999917,5.071384594092334,3.654910762893445,1.0,2.0,3.0,5.0,7.0
2004,0.7503228341287953,2.140915038879959,-1.9608282625111342,28.167488,25.92103,0.4461300416666667,0.12552224999999595,7.459129878039562,4.303040105862343,1.0,3.0,4.0,6.0,8.0
2005,0.7577831224949909,2.188959516026318,-1.9751123804846502,28.250908,25.87366,0.529550041666667,0.0781522499999987,7.351518014611434,5.827495087115788,2.0,4.0,6.0,7.0,10.0
2006,0.7391103662482333,2.1351443575081857,-2.0126573190101893,28.185663,25.934443,0.46430504166666964,0.1389352499999994,1.922673380496828,4.266695364734187,1.0,3.0,4.0,6.0,8.0
2007,0.7410062875646568,2.135551522825257,-2.0096164816925013,27.76332,25.752197,0.04196204166666817,-0.043310750000003395,2.6928403928178386,2.5034164690952765,0.0,1.0,2.0,3.0,5.0
2008,0.7445224049821427,2.1417668132183247,-2.001615377267663,28.018057,25.872566,0.29669904166666683,0.07705824999999678,3.8078182539998133,3.406691507096485,1.0,2.0,3.0,5.0,7.0
2009,0.7234271393532735,2.151973980002676,-2.124806708326973,28.059977,26.042368,0.3386190416666679,0.24686024999999745,1.37375141881064,2.5284240181899875,0.0,1.0,2.0,3.0,5.0
