year,alpha,beta,gamma,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,count,lambda,p_05,p_25,p_50,p_75,p_95
1981,1.724383130406573,0.6577485897871672,-0.8483746967668481,27.744543,25.652681,0.023185041666668127,-0.1428267500000011,8.0,6.428901344080216,3.0,5.0,6.0,8.0,11.0
1982,1.6644401889020917,0.8663870037686521,-1.1332944682669333,27.319565,25.686502,-0.4017929583333313,-0.10900575000000146,2.0,4.220137055303571,1.0,3.0,4.0,6.0,8.0
1983,1.6235294860107337,0.9353624652004666,-1.2997678124637415,27.535995,25.755644,-0.18536295833333227,-0.039863750000002085,3.0,4.4904887618752545,1.0,3.0,4.0,6.0,8.0
1984,1.678946001081738,0.5132182868941286,-0.9576749263427115,27.126345,25.607714,-0.5950129583333315,-0.18779375000000087,9.0,4.727610218571992,1.0,3.0,5.0,6.0,9.0
1985,1.689272252113872,0.4544283153941883,-0.9331485909831347,27.39813,25.555567,-0.32322795833333373,-0.23994075000000237,8.0,5.849105176734826,2.0,4.0,6.0,7.0,10.0
1986,1.6444835698110623,0.5776954800122075,-1.1408106618892153,27.355062,25.706842,-0.36629595833333184,-0.08866575000000054,2.0,4.636811175328988,1.0,3.0,4.0,6.0,8.0
1987,1.684536549885812,0.60669575841272,-1.0030311669850756,28.073606,26.062393,0.35224804166666956,0.26688524999999785,6.0,5.1066811863257255,2.0,3.0,5.0,7.0,9.0
1988,1.670925549422604,0.6316506682236173,-1.0515488930001915,27.516336,25.689127,-0.20502195833333303,-0.10638075000000313,4.0,5.224127782513438,2.0,4.0,5.0,7.0,9.0
1989,1.6947733700846703,0.636398587401104,-0.9951021233539421,27.68081,25.701874,-0.040547958333331025,-0.09363375000000218,8.0,5.824911755822161,2.0,4.0,6.0,7.0,10.0
1990,1.7352245797546435,0.6890818959318944,-0.8960244495621423,27.8796,25.804667,0.1582420416666679,0.009159249999996177,9.0,6.271774907319829,2.0,4.0,6.0,8.0,11.0
1991,1.7150349388744182,0.7526623163521592,-0.9947508766178903,27.431044,25.740747,-0.29031395833333207,-0.054760750000003355,3.0,4.716183380120271,1.0,3.0,5.0,6.0,9.0
1992,1.7067218977017504,0.7802721076396322,-1.029536606745094,27.443548,25.675955,-0.2778099583333322,-0.11955275000000398,4.0,5.018035229532307,2.0,3.0,5.0,6.0,9.0
1993,1.7102737636466194,0.7693376264555245,-1.0120730934389002,27.435114,25.745783,-0.2862439583333334,-0.04972475000000287,5.0,4.666365941241524,1.0,3.0,4.0,6.0,8.0
1994,1.6980731472647943,0.8220461763946123,-1.0795022881825005,27.35083,25.727509,-0.37052795833333363,-0.067998750000001,3.0,4.335716425987848,1.0,3.0,4.0,6.0,8.0
1995,1.7764278764585542,0.999530087481397,-0.9026012033675845,28.040411,25.87053,0.3190530416666668,0.0750222499999964,13.0,7.595954614244203,3.0,6.0,7.0,9.0,12.0
1996,1.7960908195104173,0.9741326732755947,-0.8314509060165487,27.60568,25.74581,-0.1156779583333325,-0.04969775000000354,8.0,5.610985541682241,2.0,4.0,5.0,7.0,10.0
1997,1.7838765150349853,0.9745818535699915,-0.8890287222966581,27.960527,26.11735,0.23916904166666697,0.321842249999996,5.0,5.645390201975491,2.0,4.0,5.0,7.0,10.0
1998,1.7857871596302781,0.9800186111371929,-0.884673411672841,28.15127,25.964533,0.4299120416666682,0.16902524999999713,8.0,7.8269806064129455,4.0,6.0,8.0,10.0,13.0
1999,1.7817308586294291,0.9464820784040346,-0.8620488576414854,27.95182,25.679749,0.2304620416666694,-0.11575875000000124,7.0,8.16330204107439,4.0,6.0,8.0,10.0,13.0
2000,1.7878586887035706,0.9392717460913651,-0.8457789596767917,27.638397,25.721914,-0.08296095833333084,-0.07359375000000057,7.0,5.883664898602106,2.0,4.0,6.0,7.0,10.0
2001,1.7937952000131892,0.9627999050429789,-0.8417072336438847,28.054937,25.834852,0.33357904166666685,0.03934424999999919,9.0,8.019280702004853,4.0,6.0,8.0,10.0,13.0
2002,1.812122742493477,0.9357225647753407,-0.7555195164399683,27.71842,25.880438,-0.0029379583333337678,0.08493024999999932,8.0,5.727087817138345,2.0,4.0,6.0,7.0,10.0
2003,1.8102721273560545,0.9304000957329213,-0.7610609569887481,28.226748,26.021996,0.5053900416666686,0.22648824999999917,8.0,8.232713808581924,4.0,6.0,8.0,10.0,13.0
2004,1.8084016837172527,0.922410469232689,-0.7633693846672223,28.167488,25.92103,0.4461300416666667,0.12552224999999595,8.0,8.365339020297936,4.0,6.0,8.0,10.0,13.0
2005,1.8271851938816686,1.1129516141969258,-0.8263336680685512,28.250908,25.87366,0.529550041666667,0.0781522499999987,17.0,10.506235438006524,5.0,8.0,10.0,13.0,16.0
2006,1.8226275616366734,1.0952917304757213,-0.834786429651835,28.185663,25.934443,0.46430504166666964,0.1389352499999994,8.0,9.163202842742326,5.0,7.0,9.0,11.0,14.0
2007,1.8124226910078431,1.100975514801418,-0.8542258029957838,27.76332,25.752197,0.04196204166666817,-0.043310750000003395,4.0,6.65666781741412,3.0,5.0,6.0,8.0,11.0
2008,1.8197755521713785,1.1140081170279716,-0.8375142914892117,28.018057,25.872566,0.29669904166666683,0.07705824999999678,10.0,8.050734320840105,4.0,6.0,8.0,10.0,13.0
2009,1.8007291139835848,1.1259878544665696,-0.9428670997289854,28.059977,26.042368,0.3386190416666679,0.24686024999999745,4.0,7.0234435660296235,3.0,5.0,7.0,9.0,12.0
2010,1.8012495574778835,1.1088737682237928,-0.9268439248252165,28.35483,25.776224,0.6334720416666677,-0.019283750000003153,12.0,12.448039167501122,7.0,10.0,12.0,15.0,19.0
2011,1.8075548488140496,1.1820921230552945,-1.0051027991797432,27.996576,25.71849,0.27521804166666897,-0.0770177500000031,15.0,9.11843951926638,4.0,7.0,9.0,11.0,14.0
2012,1.8143275507835435,1.2175251094927602,-0.9964690934524914,28.217049,25.90989,0.49569104166666733,0.11438224999999846,13.0,10.012811906291166,5.0,8.0,10.0,12.0,15.0
2013,1.8201956224486238,1.2374523061228941,-0.9839280093160431,28.163483,25.9049,0.44212504166666733,0.10939224999999908,12.0,9.579928955882517,5.0,7.0,9.0,12.0,15.0
