origin,basin,init_month,climatology
bom,mdr,4,300.15253
bom,mdr,5,300.2872
bom,mdr,6,300.34134
bom,mdr,7,300.40576
cmcc,mdr,4,299.7979
cmcc,mdr,5,299.89526
cmcc,mdr,6,300.0916
cmcc,mdr,7,300.35217
dwd,mdr,4,300.37476
dwd,mdr,5,300.3056
dwd,mdr,6,300.2404
dwd,mdr,7,300.07944
eccc,mdr,4,299.49478
eccc,mdr,5,299.717
eccc,mdr,6,300.0429
eccc,mdr,7,300.18924
ecmwf,mdr,4,300.44373
ecmwf,mdr,5,300.55127
ecmwf,mdr,6,300.6186
ecmwf,mdr,7,300.66476
jma,mdr,4,299.90442
jma,mdr,5,299.9605
jma,mdr,6,300.13336
jma,mdr,7,300.27475
meteo_france,mdr,4,300.92154
meteo_france,mdr,5,300.8862
meteo_france,mdr,6,300.8434
meteo_france,mdr,7,300.77475
ncep,mdr,4,300.41055
ncep,mdr,5,300.4931
ncep,mdr,6,300.52448
ncep,mdr,7,300.551
ukmo,mdr,4,300.2922
ukmo,mdr,5,300.36414
ukmo,mdr,6,300.4857
ukmo,mdr,7,300.5661
bom,trop,4,298.3326
bom,trop,5,298.39194
bom,trop,6,298.45822
bom,trop,7,298.54922
cmcc,trop,4,298.5415
cmcc,trop,5,298.55685
cmcc,trop,6,298.64206
cmcc,trop,7,298.76562
dwd,trop,4,298.19772
dwd,trop,5,298.14417
dwd,trop,6,298.15198
dwd,trop,7,298.164
eccc,trop,4,298.072
eccc,trop,5,298.19946
eccc,trop,6,298.3487
eccc,trop,7,298.5413
ecmwf,trop,4,298.89572
ecmwf,trop,5,298.87988
ecmwf,trop,6,298.8769
ecmwf,trop,7,298.88303
jma,trop,4,298.49118
jma,trop,5,298.50385
jma,trop,6,298.5249
jma,trop,7,298.58023
meteo_france,trop,4,299.15683
meteo_france,trop,5,299.13748
meteo_france,trop,6,299.11395
meteo_france,trop,7,299.10526
ncep,trop,4,298.57635
ncep,trop,5,298.55475
ncep,trop,6,298.56888
ncep,trop,7,298.6391
ukmo,trop,4,298.95175
ukmo,trop,5,298.95648
ukmo,trop,6,298.95938
ukmo,trop,7,298.98245
nmme_ncep,trop,1,298.1374816894531
nmme_ncep,trop,2,298.1360778808594
nmme_ncep,trop,3,298.16607666015625
nmme_ncep,trop,4,298.1619567871094
nmme_ncep,trop,5,298.1222839355469
nmme_ncep,trop,6,298.1063232421875
nmme_ncep,trop,7,298.1371765136719
nmme_ncep,trop,8,298.21728515625
nmme_nasa,trop,1,299.1694030761719
nmme_nasa,trop,2,299.238525390625
nmme_nasa,trop,3,299.18829345703125
nmme_nasa,trop,4,299.14862060546875
nmme_nasa,trop,5,299.0772705078125
nmme_nasa,trop,6,298.9906921386719
nmme_nasa,trop,7,298.9271545410156
nmme_nasa,trop,8,298.83221435546875
nmme_ncep,mdr,1,300.3996276855469
nmme_ncep,mdr,2,300.4315185546875
nmme_ncep,mdr,3,300.49127197265625
nmme_ncep,mdr,4,300.525634765625
nmme_ncep,mdr,5,300.5801696777344
nmme_ncep,mdr,6,300.6112976074219
nmme_ncep,mdr,7,300.62957763671875
nmme_ncep,mdr,8,300.6015930175781
nmme_nasa,mdr,1,300.8882141113281
nmme_nasa,mdr,2,301.0194396972656
nmme_nasa,mdr,3,301.0238037109375
nmme_nasa,mdr,4,301.0002136230469
nmme_nasa,mdr,5,300.8814697265625
nmme_nasa,mdr,6,300.8312072753906
nmme_nasa,mdr,7,300.76177978515625
nmme_nasa,mdr,8,300.7025146484375
