year,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,lambda,p_05,p_25,p_50,p_75,p_95,count
1981,27.744543,25.652681,0.023185041666668127,-0.1428267500000011,7.073959210019142,3.0,5.0,7.0,9.0,12.0,7
1982,27.319565,25.686502,-0.4017929583333313,-0.10900575000000146,3.7251574507030334,1.0,2.0,4.0,5.0,7.0,2
1983,27.535995,25.755644,-0.18536295833333227,-0.039863750000002085,4.528310797564097,1.0,3.0,4.0,6.0,8.0,3
1984,27.126345,25.607714,-0.5950129583333315,-0.18779375000000087,3.211558417291185,1.0,2.0,3.0,4.0,6.0,5
1985,27.39813,25.555567,-0.32322795833333373,-0.23994075000000237,5.069841093380161,2.0,3.0,5.0,6.0,9.0,7
1986,27.355062,25.706842,-0.36629595833333184,-0.08866575000000054,3.794079462635662,1.0,2.0,4.0,5.0,7.0,4
1987,28.073606,26.062393,0.35224804166666956,0.26688524999999785,5.989379494832676,2.0,4.0,6.0,8.0,10.0,3
1988,27.516336,25.689127,-0.20502195833333303,-0.10638075000000313,4.875558405379693,2.0,3.0,5.0,6.0,9.0,5
1989,27.68081,25.701874,-0.040547958333331025,-0.09363375000000218,6.008267080290242,2.0,4.0,6.0,8.0,10.0,7
1990,27.8796,25.804667,0.1582420416666679,0.009159249999996177,6.771405920615507,3.0,5.0,7.0,8.0,11.0,8
1991,27.431044,25.740747,-0.29031395833333207,-0.054760750000003355,4.0041660298241855,1.0,3.0,4.0,5.0,8.0,4
1992,27.443548,25.675955,-0.2778099583333322,-0.11955275000000398,4.496231091310577,1.0,3.0,4.0,6.0,8.0,4
1993,27.435114,25.745783,-0.2862439583333334,-0.04972475000000287,3.9961233576129374,1.0,3.0,4.0,5.0,8.0,4
1994,27.35083,25.727509,-0.37052795833333363,-0.067998750000001,3.655135966268636,1.0,2.0,3.0,5.0,7.0,3
1995,28.040411,25.87053,0.3190530416666668,0.0750222499999964,7.6578922261116125,3.0,6.0,7.0,9.0,12.0,11
1996,27.60568,25.74581,-0.1156779583333325,-0.04969775000000354,5.06335482036187,2.0,3.0,5.0,6.0,9.0,9
1997,27.960527,26.11735,0.23916904166666697,0.321842249999996,4.70885400594312,1.0,3.0,5.0,6.0,9.0,3
1998,28.15127,25.964533,0.4299120416666682,0.16902524999999713,7.741771277043337,3.0,6.0,8.0,10.0,13.0,10
1999,27.95182,25.679749,0.2304620416666694,-0.11575875000000124,9.051679970496043,4.0,7.0,9.0,11.0,14.0,8
2000,27.638397,25.721914,-0.08296095833333084,-0.07359375000000057,5.494712595540309,2.0,4.0,5.0,7.0,10.0,8
2001,28.054937,25.834852,0.33357904166666685,0.03934424999999919,8.249603227744558,4.0,6.0,8.0,10.0,13.0,9
2002,27.71842,25.880438,-0.0029379583333337678,0.08493024999999932,4.8246741729251275,2.0,3.0,5.0,6.0,9.0,4
2003,28.226748,26.021996,0.5053900416666686,0.22648824999999917,7.877359426747211,4.0,6.0,8.0,10.0,13.0,7
2004,28.167488,25.92103,0.4461300416666667,0.12552224999999595,8.45966145419967,4.0,6.0,8.0,10.0,13.0,9
2005,28.250908,25.87366,0.529550041666667,0.0781522499999987,10.207736218285248,5.0,8.0,10.0,12.0,16.0,15
2006,28.185663,25.934443,0.46430504166666964,0.1389352499999994,8.500584132310367,4.0,6.0,8.0,10.0,14.0,5
2007,27.76332,25.752197,0.04196204166666817,-0.043310750000003395,6.240866061036045,2.0,4.0,6.0,8.0,11.0,6
2008,28.018057,25.872566,0.29669904166666683,0.07705824999999678,7.400981833290932,3.0,5.0,7.0,9.0,12.0,8
2009,28.059977,26.042368,0.3386190416666679,0.24686024999999745,6.058903175654177,2.0,4.0,6.0,8.0,10.0,3
2010,28.35483,25.776224,0.6334720416666677,-0.019283750000003153,13.675279373193339,8.0,11.0,14.0,16.0,20.0,12
2011,27.996576,25.71849,0.27521804166666897,-0.0770177500000031,9.080657842317919,4.0,7.0,9.0,11.0,14.0,7
2012,28.217049,25.90989,0.49569104166666733,0.11438224999999846,9.216946159713618,5.0,7.0,9.0,11.0,14.0,10
2013,28.163483,25.9049,0.44212504166666733,0.10939224999999908,8.621714351477761,4.0,7.0,8.0,11.0,14.0,2
2014,28.062662,26.064964,0.3413040416666675,0.2694562499999975,5.876063433358944,2.0,4.0,6.0,7.0,10.0,6
2015,28.325417,26.286703,0.6040590416666696,0.491195249999997,6.039528672715984,2.0,4.0,6.0,8.0,10.0,4
2016,28.103231,26.098465,0.3818730416666689,0.3029572499999986,5.907612683709508,2.0,4.0,6.0,7.0,10.0,7
2017,28.110865,26.007784,0.3895070416666684,0.2122762499999986,6.853528283726659,3.0,5.0,7.0,9.0,11.0,10
2018,27.757444,26.010843,0.03608604166666751,0.21533524999999898,4.176871455088271,1.0,3.0,4.0,5.0,8.0,8
2019,28.151863,26.101835,0.4305050416666667,0.30632724999999894,6.2878377431235215,2.0,5.0,6.0,8.0,11.0,6
2020,28.171953,26.018814,0.4505950416666664,0.2233062499999967,7.33587805196522,3.0,5.0,7.0,9.0,12.0,14
2021,28.009798,25.949835,0.2884400416666679,0.15432724999999792,6.505337739383152,3.0,5.0,6.0,8.0,11.0,7
2022,28.110962,25.91031,0.3896040416666686,0.11480224999999677,7.949874859375878,4.0,6.0,8.0,10.0,13.0,9
2023,28.972223,26.40983,1.2508650416666676,0.6143222499999972,12.290376227304817,7.0,10.0,12.0,15.0,18.0,7
2024,28.788664,26.256594,1.0673060416666686,0.4610862499999975,12.026452510405916,7.0,10.0,12.0,14.0,18.0,11
