year,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,lam_hurricane,percentile_05,percentile_25,percentile_50,percentile_75,percentile_95,storm_count,hurricane_count
1958,27.943377,25.667612,0.22201729,-0.12789536,9.112882,4.0,7.0,9.0,11.0,14.0,9,7
1959,27.545448,25.59191,-0.17591095,-0.20359802,5.8855968,2.0,4.0,6.0,7.0,10.0,9,7
1960,27.751062,25.584097,0.02970314,-0.21141052,7.9231067,4.0,6.0,8.0,10.0,13.0,6,4
1961,27.627441,25.471487,-0.09391785,-0.3240204,7.92068,4.0,6.0,8.0,10.0,13.0,11,8
1962,27.829172,25.53211,0.10781288,-0.26339722,9.556977,5.0,7.0,9.0,12.0,15.0,7,4
1963,27.737917,25.662073,0.016557693,-0.1334343,6.9097657,3.0,5.0,7.0,9.0,11.0,10,7
1964,27.540634,25.29989,-0.1807251,-0.4956169,9.115597,4.0,7.0,9.0,11.0,14.0,11,7
1965,27.559042,25.590048,-0.16231728,-0.2054596,6.014707,2.0,4.0,6.0,8.0,10.0,8,4
1966,27.681425,25.591667,-0.03993416,-0.20384026,7.1107836,3.0,5.0,7.0,9.0,12.0,11,7
1967,27.503038,25.435923,-0.21832085,-0.3595848,7.035011,3.0,5.0,7.0,9.0,12.0,9,6
1968,27.692842,25.677782,-0.02851677,-0.11772537,6.3374667,3.0,5.0,6.0,8.0,11.0,7,4
1969,27.966873,25.761917,0.24551392,-0.033590317,8.1569,4.0,6.0,8.0,10.0,13.0,15,12
1970,27.558258,25.47999,-0.1631012,-0.31551743,7.103003,3.0,5.0,7.0,9.0,12.0,10,7
1971,27.325647,25.37953,-0.3957119,-0.41597748,5.9921703,2.0,4.0,6.0,8.0,10.0,8,6
1972,27.365013,25.77394,-0.35634613,-0.021568298,3.4736192,1.0,2.0,3.0,5.0,7.0,5,3
1973,27.425446,25.577614,-0.2959137,-0.2178936,5.0920877,2.0,3.0,5.0,7.0,9.0,7,4
1974,27.147818,25.480852,-0.57354164,-0.3146553,4.012903,1.0,3.0,4.0,5.0,8.0,9,4
1975,27.377584,25.305397,-0.3437748,-0.4901104,7.208772,3.0,5.0,7.0,9.0,12.0,8,6
1976,27.805222,25.581871,0.083862305,-0.2136364,8.570635,4.0,7.0,8.0,10.0,14.0,8,6
1977,27.38675,25.603243,-0.33461,-0.19226456,4.6413054,1.0,3.0,4.0,6.0,8.0,4,5
1978,27.460129,25.527048,-0.26123047,-0.26845932,5.770384,2.0,4.0,6.0,7.0,10.0,8,5
1979,27.626692,25.739265,-0.094667435,-0.05624199,5.26534,2.0,4.0,5.0,7.0,9.0,5,5
1980,27.826159,25.664099,0.10479927,-0.13140869,7.786053,4.0,6.0,8.0,10.0,13.0,9,9
1981,27.744543,25.652681,0.023183823,-0.14282608,7.0739393,3.0,5.0,7.0,9.0,12.0,9,7
1982,27.319565,25.686502,-0.40179443,-0.109004974,3.7251453,1.0,2.0,4.0,5.0,7.0,3,2
1983,27.535995,25.755644,-0.18536377,-0.039863586,4.5283046,1.0,3.0,4.0,6.0,8.0,4,3
1984,27.126345,25.607714,-0.5950146,-0.18779373,3.211551,1.0,2.0,3.0,4.0,6.0,9,5
1985,27.39813,25.555567,-0.32322884,-0.23994064,5.0698338,2.0,3.0,5.0,6.0,9.0,10,7
1986,27.355062,25.706842,-0.36629677,-0.08866501,3.7940707,1.0,2.0,4.0,5.0,7.0,5,4
1987,28.073606,26.062393,0.35224724,0.26688576,5.9893684,2.0,4.0,6.0,8.0,10.0,6,3
1988,27.516336,25.689127,-0.20502281,-0.10638046,4.8755507,2.0,3.0,5.0,6.0,9.0,6,5
1989,27.68081,25.701874,-0.040548325,-0.09363365,6.008263,2.0,4.0,6.0,8.0,10.0,10,7
1990,27.8796,25.804667,0.15824127,0.009159088,6.7714005,3.0,5.0,7.0,8.0,11.0,12,8
1991,27.431044,25.740747,-0.29031563,-0.05475998,4.0041523,1.0,3.0,4.0,5.0,8.0,6,4
1992,27.443548,25.675955,-0.27781105,-0.11955261,4.496223,1.0,3.0,4.0,6.0,8.0,6,4
1993,27.435114,25.745783,-0.28624535,-0.04972458,3.9961145,1.0,3.0,4.0,5.0,8.0,6,4
1994,27.35083,25.727509,-0.37052917,-0.067998886,3.6551306,1.0,2.0,3.0,5.0,7.0,4,3
1995,28.040411,25.87053,0.31905174,0.075021744,7.6578856,3.0,6.0,7.0,9.0,12.0,16,11
1996,27.60568,25.74581,-0.11567879,-0.049697876,5.06335,2.0,3.0,5.0,6.0,9.0,10,9
1997,27.960527,26.11735,0.23916817,0.3218422,4.708849,1.0,3.0,5.0,6.0,9.0,6,3
1998,28.15127,25.964533,0.42991066,0.16902542,7.7417536,3.0,6.0,8.0,10.0,13.0,12,10
1999,27.95182,25.679749,0.23046112,-0.115758896,9.051671,4.0,7.0,9.0,11.0,14.0,11,8
2000,27.638397,25.721914,-0.082962036,-0.07359314,5.4946995,2.0,4.0,5.0,7.0,10.0,11,8
2001,28.054937,25.834852,0.3335781,0.039344788,8.249586,4.0,6.0,8.0,10.0,13.0,13,9
2002,27.71842,25.880438,-0.0029392242,0.08493042,4.824664,2.0,3.0,5.0,6.0,9.0,8,4
2003,28.226748,26.021996,0.50538826,0.22648811,7.8773427,4.0,6.0,8.0,10.0,13.0,12,7
2004,28.167488,25.92103,0.44612885,0.12552261,8.459642,4.0,6.0,8.0,10.0,13.0,11,9
2005,28.250908,25.87366,0.52954865,0.0781517,10.207724,5.0,8.0,10.0,12.0,16.0,20,15
2006,28.185663,25.934443,0.46430397,0.13893509,8.500575,4.0,6.0,8.0,10.0,14.0,9,5
2007,27.76332,25.752197,0.04196167,-0.043310165,6.240858,2.0,4.0,6.0,8.0,11.0,6,6
2008,28.018057,25.872566,0.29669762,0.07705879,7.4009624,3.0,5.0,7.0,9.0,12.0,12,8
2009,28.059977,26.042368,0.33861732,0.2468605,6.058887,2.0,4.0,6.0,8.0,10.0,5,3
2010,28.35483,25.776224,0.63347054,-0.019283295,13.675238,8.0,11.0,14.0,16.0,20.0,14,12
2011,27.996576,25.71849,0.27521706,-0.07701683,9.080632,4.0,7.0,9.0,11.0,14.0,16,7
2012,28.217049,25.90989,0.4956894,0.11438179,9.21693,5.0,7.0,9.0,11.0,14.0,13,10
2013,28.163483,25.9049,0.4421234,0.109392166,8.621697,4.0,7.0,8.0,11.0,14.0,12,2
2014,28.062662,26.064964,0.34130287,0.26945686,5.8760486,2.0,4.0,6.0,7.0,10.0,6,6
2015,28.325417,26.286703,0.6040573,0.49119568,6.0395103,2.0,4.0,6.0,8.0,10.0,9,4
2016,28.103231,26.098465,0.38187218,0.30295753,5.9076037,2.0,4.0,6.0,7.0,10.0,12,7
2017,28.110865,26.007784,0.3895054,0.21227646,6.8535104,3.0,5.0,7.0,9.0,11.0,12,10
2018,27.757444,26.010843,0.03608513,0.21533585,4.1768622,1.0,3.0,4.0,5.0,8.0,15,8
2019,28.151863,26.101835,0.43050385,0.30632782,6.2878227,2.0,5.0,6.0,8.0,11.0,10,6
2020,28.171953,26.018814,0.45059395,0.22330666,7.3358617,3.0,5.0,7.0,9.0,12.0,23,14
