year,init_month,sst,rel_sst
1993,4,299.90527,-0.24726359049479166
1993,5,300.10464,-0.18256632486979166
1993,6,300.09903,-0.24228922526041666
1993,7,300.09305,-0.312713623046875
1994,4,299.83337,-0.31915283203125
1994,5,299.96774,-0.3194681803385417
1994,6,299.92236,-0.4189656575520833
1994,7,299.87704,-0.528717041015625
1995,4,300.17822,0.02569580078125
1995,5,300.32724,0.040028889973958336
1995,6,300.60455,0.263214111328125
1995,7,300.78894,0.3831888834635417
1996,4,299.93115,-0.22136433919270834
1996,5,300.08115,-0.2060546875
1996,6,300.0925,-0.24885050455729166
1996,7,300.30142,-0.104339599609375
1997,4,300.08438,-0.06815592447916667
1997,5,300.43375,0.14655558268229166
1997,6,300.51697,0.175628662109375
1997,7,300.4891,0.08333333333333333
1998,4,300.21414,0.061604817708333336
1998,5,300.49942,0.21221923828125
1998,6,300.62546,0.2840983072916667
1998,7,300.6284,0.22263590494791666
1999,4,300.1106,-0.041941324869791664
1999,5,300.2029,-0.08426920572916667
1999,6,300.39532,0.053985595703125
1999,7,300.28635,-0.11942545572916667
2000,4,300.11856,-0.033945719401041664
2000,5,300.14688,-0.14029947916666666
2000,6,300.0895,-0.2518208821614583
2000,7,300.08817,-0.3175862630208333
2001,4,300.1365,-0.016011555989583332
2001,5,300.25732,-0.029866536458333332
2001,6,300.38654,0.045196533203125
2001,7,300.50293,0.09715779622395833
2002,4,300.2333,0.08080037434895833
2002,5,300.27347,-0.013712565104166666
2002,6,300.1329,-0.20842488606770834
2002,7,300.14206,-0.2636922200520833
2003,4,300.3076,0.15503946940104166
2003,5,300.3599,0.07269287109375
2003,6,300.418,0.07668050130208333
2003,7,300.5094,0.1036376953125
2004,4,300.36032,0.20780436197916666
2004,5,300.39868,0.111480712890625
2004,6,300.43246,0.09111531575520833
2004,7,300.68604,0.2802836100260417
2005,4,300.56946,0.4169413248697917
2005,5,300.68042,0.3932291666666667
2005,6,300.72177,0.3804423014322917
2005,7,300.88174,0.475982666015625
2006,4,300.32785,0.17533365885416666
2006,5,300.69592,0.4087117513020833
2006,6,300.81833,0.4769795735677083
2006,7,300.60992,0.20416259765625
2007,4,300.34042,0.18788655598958334
2007,5,300.57327,0.28607177734375
2007,6,300.54703,0.2056884765625
2007,7,300.52588,0.12012736002604167
2008,4,300.46957,0.3170369466145833
2008,5,300.5616,0.2744242350260417
2008,6,300.76053,0.419189453125
2008,7,300.69223,0.286468505859375
2009,4,300.23013,0.07759602864583333
2009,5,300.27844,-0.008758544921875
2009,6,300.41348,0.07216389973958333
2009,7,300.70187,0.2960917154947917
2010,4,300.863,0.7104899088541666
2010,5,300.95642,0.669219970703125
2010,6,301.1155,0.7741800944010416
2010,7,301.07214,0.6663716634114584
2011,4,300.5117,0.3591715494791667
2011,5,300.5743,0.2870890299479167
2011,6,300.69913,0.3577779134114583
2011,7,300.8116,0.405853271484375
2012,4,300.41977,0.267242431640625
2012,5,300.4514,0.1641845703125
2012,6,300.63892,0.297576904296875
2012,7,300.6567,0.2509562174479167
2013,4,300.39938,0.24684651692708334
2013,5,300.5942,0.3070170084635417
2013,6,300.4832,0.14185587565104166
2013,7,300.54358,0.13780721028645834
2014,4,300.30045,0.14790852864583334
2014,5,300.50327,0.21604410807291666
2014,6,300.50485,0.16352335611979166
2014,7,300.55972,0.153961181640625
2015,4,300.41818,0.2656453450520833
2015,5,300.59387,0.3066813151041667
2015,6,300.51492,0.17357381184895834
2015,7,300.57727,0.17151896158854166
2016,4,300.4648,0.3122965494791667
2016,5,300.64563,0.3584187825520833
2016,6,300.82547,0.4841512044270833
2016,7,300.8121,0.4063212076822917
2017,4,300.50085,0.3483378092447917
2017,5,300.76917,0.481964111328125
2017,6,300.9928,0.651458740234375
2017,7,301.01022,0.6044413248697916
2018,4,300.40503,0.2525126139322917
2018,5,300.41263,0.12544759114583334
2018,6,300.4664,0.12506103515625
2018,7,300.4247,0.018941243489583332
2025,4,300.6958,0.5432840983072916
2025,5,300.729,0.441802978515625
2025,6,301.00113,0.6598103841145834
2025,7,300.946,0.5402323404947916
