year,init_month,sst,rel_sst
1993,4,300.31247,-0.062286376953125
1993,5,300.2861,-0.019500732421875
1993,6,299.9763,-0.2641092936197917
1993,7,299.91992,-0.159515380859375
1994,4,300.07898,-0.2957865397135417
1994,5,300.01962,-0.2860005696614583
1994,6,299.72574,-0.5146484375
1994,7,299.56445,-0.5149943033854166
1995,4,300.2595,-0.11528523763020833
1995,5,300.24686,-0.058736165364583336
1995,6,300.35782,0.11745198567708333
1995,7,300.2186,0.13914998372395834
1996,4,300.3132,-0.061543782552083336
1996,5,300.24905,-0.056538899739583336
1996,6,300.0989,-0.14148966471354166
1996,7,300.15048,0.071044921875
1997,4,300.4366,0.061848958333333336
1997,5,300.43735,0.13173421223958334
1997,6,300.59607,0.3556925455729167
1997,7,300.22876,0.14933268229166666
1998,4,300.8149,0.4401448567708333
1998,5,300.88367,0.5780741373697916
1998,6,300.66837,0.4279988606770833
1998,7,300.41458,0.3351338704427083
1999,4,300.18036,-0.19439697265625
1999,5,300.2107,-0.09489949544270833
1999,6,300.18393,-0.056447347005208336
1999,7,299.81143,-0.2679951985677083
2000,4,300.1785,-0.19623819986979166
2000,5,300.06763,-0.23796590169270834
2000,6,300.05368,-0.18671671549479166
2000,7,299.78445,-0.2949930826822917
2001,4,300.37936,0.004587809244791667
2001,5,300.12747,-0.17814127604166666
2001,6,299.98743,-0.2529500325520833
2001,7,299.64343,-0.436004638671875
2002,4,300.4858,0.11103312174479167
2002,5,300.28903,-0.016560872395833332
2002,6,300.15222,-0.08815511067708333
2002,7,300.02463,-0.054819742838541664
2003,4,300.27,-0.104766845703125
2003,5,300.32715,0.02154541015625
2003,6,300.4384,0.19801839192708334
2003,7,300.48303,0.4036051432291667
2004,4,300.4949,0.120147705078125
2004,5,300.2757,-0.0299072265625
2004,6,300.21924,-0.021148681640625
2004,7,300.19003,0.11057535807291667
2005,4,300.6672,0.2924296061197917
2005,5,300.55246,0.24686686197916666
2005,6,300.66675,0.4263712565104167
2005,7,300.5991,0.5196533203125
2006,4,300.3109,-0.06385294596354167
2006,5,300.5331,0.227508544921875
2006,6,300.51648,0.276092529296875
2006,7,300.21014,0.130706787109375
2007,4,300.31186,-0.062896728515625
2007,5,300.12695,-0.17866007486979166
2007,6,299.9807,-0.259674072265625
2007,7,299.79932,-0.2801106770833333
2008,4,300.19534,-0.17942301432291666
2008,5,300.1111,-0.19449869791666666
2008,6,299.9662,-0.274200439453125
2008,7,299.84207,-0.23735555013020834
2009,4,300.07468,-0.300079345703125
2009,5,300.1812,-0.1243896484375
2009,6,299.9205,-0.3199055989583333
2009,7,300.04843,-0.030995686848958332
2010,4,300.84573,0.470977783203125
2010,5,300.9128,0.6071879069010416
2010,6,300.8144,0.574005126953125
2010,7,300.56674,0.4872843424479167
2011,4,300.35242,-0.022328694661458332
2011,5,300.42422,0.11864217122395833
2011,6,300.35922,0.11884562174479167
2011,7,300.15732,0.077880859375
2012,4,300.21973,-0.15503946940104166
2012,5,300.2279,-0.07768758138020833
2012,6,299.9966,-0.2437744140625
2012,7,299.8897,-0.189727783203125
2013,4,300.2703,-0.10444132486979167
2013,5,300.33118,0.025583902994791668
2013,6,300.07263,-0.167755126953125
2013,7,299.67047,-0.408966064453125
2014,4,299.92062,-0.4541219075520833
2014,5,299.76147,-0.54412841796875
2014,6,299.87128,-0.369110107421875
2014,7,299.43887,-0.6405537923177084
2015,4,299.85025,-0.5244954427083334
2015,5,299.80872,-0.4968770345052083
2015,6,299.797,-0.4434000651041667
2015,7,299.4639,-0.6155293782552084
2016,4,300.22183,-0.15293375651041666
2016,5,300.37576,0.07018025716145833
2016,6,300.28873,0.04833984375
2016,7,299.92102,-0.15842692057291666
2017,4,300.21964,-0.15513102213541666
2017,5,300.43484,0.129241943359375
2017,6,300.0924,-0.14796956380208334
2017,7,299.9581,-0.121337890625
2018,4,300.41684,0.042093912760416664
2018,5,300.08383,-0.221771240234375
2018,6,299.79343,-0.4469807942708333
2018,7,299.5659,-0.5135599772135416
2019,4,300.301,-0.073760986328125
2019,5,300.10928,-0.19630940755208334
2019,6,299.88,-0.3603719075520833
2019,7,299.94083,-0.13860066731770834
2020,4,300.4978,0.123046875
2020,5,300.577,0.2713724772135417
2020,6,300.4056,0.16521199544270834
2020,7,300.1971,0.11766560872395833
2021,4,300.36603,-0.00872802734375
2021,5,300.17355,-0.132049560546875
2021,6,300.0909,-0.14946492513020834
2021,7,299.59653,-0.4829305013020833
2022,4,300.25842,-0.11634318033854167
2022,5,300.15857,-0.14703369140625
2022,6,300.14658,-0.09380086263020833
2022,7,299.92715,-0.15227254231770834
2023,4,300.53387,0.15911865234375
2023,5,300.63596,0.3303324381510417
2023,6,301.04672,0.8063151041666666
2023,7,300.71005,0.630615234375
2025,4,300.5532,0.17842610677083334
2025,5,300.3571,0.051503499348958336
2025,6,299.95026,-0.290130615234375
2025,7,299.68875,-0.3906758626302083
