year,init_month,sst,rel_sst
1981,4,300.67236,0.22862752278645834
1981,5,300.5986,0.047322591145833336
1981,6,300.7322,0.11363728841145833
1981,7,300.7655,0.10074869791666667
1982,4,300.36465,-0.07906087239583333
1982,5,300.5048,-0.046457926432291664
1982,6,300.4166,-0.201995849609375
1982,7,300.36063,-0.30413818359375
1983,4,300.5037,0.059956868489583336
1983,5,300.56314,0.011891682942708334
1983,6,300.5223,-0.09630330403645833
1983,7,300.5366,-0.12819417317708334
1984,4,300.1708,-0.2728983561197917
1984,5,300.35034,-0.20093790690104166
1984,6,300.05652,-0.5620625813802084
1984,7,300.03818,-0.6265767415364584
1985,4,299.9163,-0.5274454752604166
1985,5,300.03445,-0.5168253580729166
1985,6,300.38016,-0.23842366536458334
1985,7,300.56787,-0.09690348307291667
1986,4,300.10934,-0.334381103515625
1986,5,300.14523,-0.4060567220052083
1986,6,300.1061,-0.5124613444010416
1986,7,300.2289,-0.4358317057291667
1987,4,300.64938,0.205657958984375
1987,5,300.78738,0.23612467447916666
1987,6,300.94882,0.330230712890625
1987,7,301.05762,0.3928426106770833
1988,4,300.44376,2.0345052083333332e-05
1988,5,300.636,0.08472696940104167
1988,6,300.89502,0.27642822265625
1988,7,300.72726,0.0625
1989,4,300.00638,-0.4373270670572917
1989,5,300.15622,-0.3950602213541667
1989,6,300.48804,-0.13055419921875
1989,7,300.72293,0.058156331380208336
1990,4,300.4192,-0.024546305338541668
1990,5,300.5964,0.045135498046875
1990,6,300.70816,0.089569091796875
1990,7,300.64096,-0.0238037109375
1991,4,300.44165,-0.0020853678385416665
1991,5,300.43088,-0.120391845703125
1991,6,300.58884,-0.029774983723958332
1991,7,300.61337,-0.0513916015625
1992,4,300.3713,-0.072418212890625
1992,5,300.42203,-0.12923177083333334
1992,6,300.38403,-0.23456827799479166
1992,7,300.4401,-0.22468058268229166
1993,4,300.51187,0.06815592447916667
1993,5,300.48685,-0.06443277994791667
1993,6,300.5085,-0.11006673177083333
1993,7,300.4076,-0.2571818033854167
1994,4,300.1637,-0.2800191243489583
1994,5,300.16663,-0.3846333821614583
1994,6,300.14642,-0.47216796875
1994,7,300.15005,-0.51470947265625
1995,4,300.59818,0.154449462890625
1995,5,300.83322,0.2819620768229167
1995,6,300.99295,0.374359130859375
1995,7,301.25034,0.5855611165364584
1996,4,300.33395,-0.10978190104166667
1996,5,300.48502,-0.06626383463541667
1996,6,300.434,-0.18458048502604166
1996,7,300.5629,-0.10187784830729167
1997,4,300.53903,0.09528605143229167
1997,5,300.8407,0.2894287109375
1997,6,300.8378,0.219207763671875
1997,7,300.98743,0.3226521809895833
1998,4,300.8411,0.3973795572916667
1998,5,301.01733,0.4660746256510417
1998,6,301.09912,0.4805399576822917
1998,7,301.02698,0.3622233072916667
1999,4,300.4955,0.051788330078125
1999,5,300.72366,0.17238362630208334
1999,6,300.8536,0.23502604166666666
1999,7,300.79395,0.12919108072916666
2000,4,300.47412,0.030385335286458332
2000,5,300.54996,-0.001312255859375
2000,6,300.44235,-0.17625935872395834
2000,7,300.55212,-0.112640380859375
2001,4,300.54553,0.101806640625
2001,5,300.64627,0.09502156575520833
2001,6,300.7503,0.1317138671875
2001,7,300.76694,0.10215250651041667
2002,4,300.58163,0.13791910807291666
2002,5,300.54773,-0.0035502115885416665
2002,6,300.51627,-0.10233561197916667
2002,7,300.39175,-0.2730000813802083
2003,4,300.58408,0.14032999674479166
2003,5,300.6648,0.11351521809895833
2003,6,300.83258,0.2139892578125
2003,7,300.84796,0.183197021484375
2004,4,300.71436,0.2706197102864583
2004,5,300.5381,-0.013193766276041666
2004,6,300.66956,0.050954182942708336
2004,7,300.9856,0.320831298828125
2005,4,300.86975,0.4260152180989583
2005,5,301.10358,0.55230712890625
2005,6,301.26797,0.6494038899739584
2005,7,301.29636,0.6316019694010416
2006,4,300.71686,0.27313232421875
2006,5,300.88412,0.3328348795572917
2006,6,301.07193,0.4533284505208333
2006,7,300.87595,0.21117146809895834
2007,4,300.6174,0.17366536458333334
2007,5,300.8074,0.2561238606770833
2007,6,300.5935,-0.025095621744791668
2007,7,300.6189,-0.045857747395833336
2008,4,300.4991,0.055389404296875
2008,5,300.76602,0.21477254231770834
2008,6,300.88797,0.2693684895833333
2008,7,300.8878,0.2230224609375
2009,4,300.2344,-0.20930989583333334
2009,5,300.37204,-0.17925008138020834
2009,6,300.67038,0.051767985026041664
2009,7,301.0013,0.3365478515625
2010,4,301.14233,0.6985982259114584
2010,5,301.45642,0.9051615397135416
2010,6,301.43176,0.81317138671875
2010,7,301.36545,0.70068359375
2011,4,300.66022,0.21649169921875
2011,5,300.83127,0.2799886067708333
2011,6,301.0695,0.450897216796875
2011,7,301.05313,0.3883768717447917
2012,4,300.55777,0.11405436197916667
2012,5,300.78577,0.23448689778645834
2012,6,300.95602,0.3374226888020833
2012,7,300.95486,0.2901102701822917
2013,4,300.6726,0.2288818359375
2013,5,300.7702,0.21893310546875
2013,6,300.59775,-0.020843505859375
2013,7,300.63992,-0.024820963541666668
2014,4,300.39926,-0.044453938802083336
2014,5,300.67087,0.11960856119791667
2014,6,300.59207,-0.026529947916666668
2014,7,300.60056,-0.06422932942708333
2015,4,300.5432,0.09949747721354167
2015,5,300.69333,0.14203898111979166
2015,6,300.46396,-0.15464274088541666
