year,init_month,sst,rel_sst
1993,4,300.83963,-0.08189900716145833
1993,5,300.74988,-0.13633219401041666
1993,6,300.56516,-0.2782694498697917
1993,7,300.47052,-0.304229736328125
1994,4,300.64465,-0.2768961588541667
1994,5,300.60513,-0.2810465494791667
1994,6,300.42807,-0.41534423828125
1994,7,300.25363,-0.5211079915364584
1995,4,300.92044,-0.0010782877604166667
1995,5,301.0124,0.126190185546875
1995,6,301.16553,0.3221232096354167
1995,7,301.25607,0.4813028971354167
1996,4,300.8341,-0.08742268880208333
1996,5,300.79224,-0.09397379557291667
1996,6,300.63718,-0.20624796549479166
1996,7,300.68372,-0.091033935546875
1997,4,300.84824,-0.07330322265625
1997,5,301.01077,0.12456258138020833
1997,6,300.9681,0.12469482421875
1997,7,300.9143,0.13956705729166666
1998,4,301.16824,0.24671427408854166
1998,5,301.1294,0.243194580078125
1998,6,301.173,0.3295796712239583
1998,7,301.0955,0.3207499186197917
1999,4,300.69528,-0.22624715169270834
1999,5,300.74503,-0.14118448893229166
1999,6,300.79587,-0.047556559244791664
1999,7,300.66248,-0.11228434244791667
2000,4,300.82013,-0.101409912109375
2000,5,300.54898,-0.3372294108072917
2000,6,300.5393,-0.3040974934895833
2000,7,300.50797,-0.2667744954427083
2001,4,300.86243,-0.059112548828125
2001,5,300.7855,-0.10071818033854167
2001,6,300.8594,0.015981038411458332
2001,7,300.75467,-0.020060221354166668
2002,4,300.97513,0.053599039713541664
2002,5,300.90768,0.021464029947916668
2002,6,300.75662,-0.0867919921875
2002,7,300.4579,-0.316864013671875
2003,4,300.96268,0.0411376953125
2003,5,300.9905,0.10431925455729167
2003,6,300.9048,0.061370849609375
2003,7,300.8773,0.1025390625
2004,4,301.1607,0.239166259765625
2004,5,301.02603,0.13985188802083334
2004,6,300.8308,-0.012613932291666666
2004,7,300.82785,0.053080240885416664
2005,4,301.24826,0.3267313639322917
2005,5,301.21707,0.3308919270833333
2005,6,301.34082,0.4973958333333333
2005,7,301.30984,0.53509521484375
2006,4,300.9224,0.0008646647135416666
2006,5,301.1481,0.2619120279947917
2006,6,301.12875,0.28533935546875
2006,7,300.90475,0.12998453776041666
2007,4,301.12378,0.20222981770833334
2007,5,301.07474,0.18855794270833334
2007,6,300.87436,0.030924479166666668
2007,7,300.72763,-0.047139485677083336
2008,4,300.92136,-0.00017293294270833334
2008,5,300.9823,0.09611002604166667
2008,6,300.939,0.09560139973958333
2008,7,300.97427,0.19953409830729166
2009,4,300.81833,-0.10321044921875
2009,5,300.81778,-0.06842041015625
2009,6,300.82767,-0.015757242838541668
2009,7,300.9039,0.12913004557291666
2010,4,301.41373,0.4921875
2010,5,301.58398,0.697784423828125
2010,6,301.68118,0.8377888997395834
2010,7,301.41196,0.6371968587239584
2011,4,300.91492,-0.006612141927083333
2011,5,300.98053,0.094329833984375
2011,6,301.1662,0.322784423828125
2011,7,301.15512,0.38037109375
2012,4,301.0498,0.12825520833333334
2012,5,300.8912,0.005015055338541667
2012,6,300.87875,0.035319010416666664
2012,7,300.89294,0.11818440755208333
2013,4,301.1487,0.22718302408854166
2013,5,301.11957,0.233367919921875
2013,6,301.01526,0.171844482421875
2013,7,300.8025,0.027730305989583332
2014,4,300.98557,0.06401570638020833
2014,5,300.96622,0.08000691731770833
2014,6,300.89145,0.04803466796875
2014,7,300.77884,0.00408935546875
2015,4,301.03024,0.10869344075520833
2015,5,301.03125,0.145050048828125
2015,6,300.94708,0.103668212890625
2015,7,300.7803,0.005574544270833333
2016,4,301.19083,0.2692769368489583
2016,5,301.16162,0.2754313151041667
2016,6,301.08582,0.24239095052083334
2016,7,300.95627,0.18149820963541666
2017,4,301.29892,0.3773701985677083
2017,5,301.37045,0.4842427571614583
2017,6,301.36777,0.52435302734375
2017,7,301.24637,0.47161865234375
2018,4,301.00992,0.08836873372395833
2018,5,301.25833,0.3721211751302083
2018,6,300.69632,-0.1470947265625
2018,7,300.5164,-0.2583719889322917
2019,4,301.28384,0.3623148600260417
2019,5,301.25235,0.3661600748697917
2019,6,301.11386,0.2704264322916667
2019,7,300.947,0.17222086588541666
2020,4,301.39026,0.4687093098958333
2020,5,301.27954,0.393341064453125
2020,6,301.22775,0.3843485514322917
2020,7,301.12692,0.3521626790364583
2021,4,301.1492,0.22767130533854166
2021,5,301.14932,0.2631327311197917
2021,6,301.1085,0.2650655110677083
2021,7,300.9921,0.21736653645833334
2022,4,301.2415,0.3199462890625
2022,5,300.94736,0.0611572265625
2022,6,301.03653,0.19310506184895834
2022,7,300.92294,0.148193359375
2023,4,301.5253,0.6037495930989584
2023,5,301.72137,0.835174560546875
2023,6,301.8837,1.0402730305989583
2023,7,301.79382,1.0190836588541667
2024,4,301.8652,0.9436543782552084
2024,5,301.78812,0.9019368489583334
2024,6,301.6951,0.8516743977864584
2024,7,301.5759,0.8011576334635416
2025,4,301.2548,0.3332621256510417
2025,5,301.15704,0.270843505859375
2025,6,300.94882,0.10540771484375
2025,7,300.78433,0.009602864583333334
